,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
187,188,7276.json,true,"Says in this next biennium, the cost of primary and secondary education is going to increase by more that $1000 per student. Half of that $1000 $500 per student is accounted for by the increased cost of PERS alone.",education,john-kitzhaber,Governor of Oregon,Oregon,democrat,1.0,1.0,4.0,4.0,0.0,his State of the State Address.,"Becca Uherbelau, a spokeswoman for the Oregon Education Association, which represent public employees, says the proposed reforms would wind up in court. However, much of that has little to do with what the governor said -- and the statement were vetting. Kitzhaber has said on several occasions, most recently in his State of the State address, that if nothing changes, the state will be spending about $500 more per K-12 student to cover the cost of PERS in the next biennium. We checked his math and verified it with the executive director of PERS and the governor is right."
200,201,6342.json,true,I ended up my time as governor with a general fund budget that was smaller than the one I started with.,state-budget,tim-kaine,U.S. Senator,Virginia,democrat,8.0,3.0,15.0,15.0,0.0,a debate.,"Kaine said the general fund budget was smaller at the end of his gubernatorial term than at the start. These figures dont include $1. 5 billion in federal stimulus money the state used to support general fund programs during Kaines last year. Virginia did not count the one-time stimulus money as part of the general fund, which mainly consists of income and sales tax revenues. And when the stimulus ran out, there was no backfill for the budget cuts Kaine endorsed."
238,239,7094.json,true,Barack Obama is only the second Democrat in the last 75 years to win Ohio twice with more than 50 percent of the vote.,elections,chris-redfern,Chairman of the  Ohio Democratic Party,Ohio,democrat,0.0,0.0,2.0,4.0,0.0,a news conference,"To make his argument, Redfern said Obama was only the Democrat to twice carry Ohio with a majority in the last 75 years. It turns out Redfern is right. Franklin Roosevelt was the last Democrat to carry Ohio twice with a majority, which he did in 1936 and 1940. And his second win did fall within the last 75 years."
265,266,1516.json,true,"Bill McCollum voted four times to raise his own pay, by a total of $51,000, and earns a congressional pension worth more than $75,000 a year.",candidates-biography,florida-democratic-party,,Florida,democrat,5.0,4.0,4.0,5.0,3.0,an advertisement by the Florida Democratic Party,"The Florida Democratic Party sent us copies of three financial disclosure forms signed by McCollum, who is 65. The first was filed in 2005, when McCollum was a candidate for state attorney general, an office he won and continues to occupy. It reports that McCollum earned $76,704 in a federal pension, which covers his service in Congress. (This is distinct from his military pension, which earned him $13,455 that year; McCollum served in the Navy and the Naval Reserve from 1969 to 1992. )His 2006 report showed a federal pension worth $77,612, while his 2008 report showed a $77,280 federal pension. All three filings showed congressional pensions worth ""over $75,000 dollars a year."
274,275,8026.json,true,"Guess what, governor? Theres no fried butter in Newark. Just 13 percent unemployment.",jobs,barbara-buono,State Senator,New Jersey,democrat,3.0,1.0,4.0,4.0,1.0,an online gubernatorial campaign ad,"Buono said in a new online ad about Christies trips to other states, ""Guess what, governor?Theres no fried butter in Newark. There have only been three months in which the citys unemployment rate was in the 13 percent range: April 2012, April 2013 and a preliminary rate in that range for May."
275,276,3817.json,true,Says Republican-approved changes to make it more difficult to participate in Ohio elections include reducing in-person early voting from 35 days to six.,elections,armond-budish,Minority leader in the Ohio House of Representatives,Ohio,democrat,0.0,1.0,2.0,3.0,0.0,a news release,"It also requires elections boards to close Saturday voting at noon. The House version allows for voting until 6 p. m. Applying these restrictions, the Senate bill takes away five days, leaving 11 days for in-person voting. Returning to the House bill and Budishs assessment, his statement is accurate and theres nothing significant missing."
345,346,10336.json,true,Only 20 colleges and universities have athletic departments with revenue exceeding expenses.,"education,sports,state-budget",jim-moran,U. S. Congressman,Virginia,democrat,2.0,1.0,1.0,6.0,1.0,a Facebook post,Moran said only 20 FBS schools generate more money from athletics than they spend.
367,368,3481.json,true,"The House-passed budget proposal could cut funding for programs that help keep local neighborhoods safe, slash more than $1.7 million in anti-terror funds for Ohio.","crime,criminal-justice,federal-budget",sherrod-brown,U.S. Senator,Ohio,democrat,3.0,4.0,5.0,8.0,1.0,,"Brown was correct, then, that Cleveland ""could"" lose ""more than"" $500,000. But the House bill sets the stage for whatever happens next; for now, at least, it is the bill the Senate must work with. And Brown was careful to say it ""could,"" not ""would"" when discussing all the proposed cuts."
378,379,2128.json,true,Weve seen six months of positive job growth by the private sector.,"economy,abc-news-week",timothy-geithner,,,democrat,0.0,0.0,1.0,0.0,0.0,"ABC's ""This Week""","Here's a quick monthly summary of jobs added:  January: 16,000 February: 62,000 March: 158,000 April: 241,000 May: 33,000 June: 83,000    Data for the month of July --which wasn't over when Geithner spoke -- won't be released until August, so that's the most up-to-date data available. The report notes that data for the two most recent months are preliminary. But unless there's an unusually big after-the fact correction for either month, it's pretty clear that Geithner was correct. We've seen positive job growth in the private sector from January to June."
382,383,7505.json,true,"Says, I-205, six miles of which runs through my district, already carries more traffic than I-5.","environment,infrastructure,state-budget,transportation",jackie-dingfelder,,,democrat,0.0,0.0,0.0,0.0,0.0,a floor speech,"So I-205 has 11 percent more traffic at the bridge. And we suppose that makes sense, since the Glenn Jackson Bridge is nearly twice as wide as the Interstate Bridge. Ruling:    We dont know how many motorists would head over to I-205 to avoid a toll, but we do know that Dingfelders right. More cars already travel across the I-205 bridge than the I-5 bridge."
408,409,13244.json,true,Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two.,taxes,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,the second presidential debate,"Clinton said Trumps tax plan will give the wealthy ""more than the Bush tax cuts by at least a factor of two. ""After-tax incomes for the top 1 percent of taxpayers increased by 5. 4 to 6. 7 percent thanks to the Bush tax cuts. The same group would see incomes gains of 10. 2 to 19. 9 percent under the Trump tax plan, if not more. Measuring it in a different way, the top 1 percent received a tax break equivalent to 0. 66 percent of GDP under Bush. Trumps tax plan would deliver a cut equivalent to 1. 32 percent of GDP."
409,410,1472.json,true,Houston is the third-most toxic city in the United States of America.,"economy,energy,environment",farouk-shami,Businessman,Texas,democrat,1.0,2.0,2.0,0.0,1.0,a debate.,"He saw that as a boon: ""The more people understand about it (air quality), the more changes are likely that will take us in a positive direction. ""When we reached Lester, he revisited pollution levels reported by industries and posted online by the EPA. In 2007, Harris County industries reported either releasing or disposing of 36. 1 million pounds of toxic chemicals, while industries around Detroit in Wayne County nearly matched that dubious achievement, reporting the disposal or release of nearly 30 million pounds of toxic pollutants. Shami correctly referred to a recent national comparison."
455,456,8878.json,true,Pinellas County voters elected me as their chief financial officer (and) elected me as (their) governor four years ago.,elections,alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a debate,"On both counts, the election results support her point."
471,472,3041.json,true,"Says the person who Florida U.S. Rep. Allen West first hired as chief of staff told people attending a Tea Party rally that, We will use bullets if ballots dont work.","bipartisanship,elections,guns,campaign-advertising",debbie-wasserman-schultz,"U.S. Representative, Florida District 23",Florida,democrat,7.0,9.0,8.0,15.0,3.0,comments on NBC's 'Meet the Press',"(Kaufman said, ""If ballots don't work, bullets will. "")Maybe we could all do better by leaving the war and gun language out of political discussions. As NBC News' Chuck Todd put it, ""To political professionals, the use of these images has no impact; the problem is when these images are digested by those who are already a bit unstable. No one is calling for censorship, only responsibility."
481,482,10084.json,true,Says Jeb Bush -- not Charlie Crist -- signed legislation that let Duke Energy collect money for nuclear projects.,"debates,energy,florida",charlie-crist,,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a gubernatorial debate in Davie,"Bush signed legislation allowing utility companies to charge customers for power plants that were never built. Scott and Republicans point to a 2008 amendment that Crist signed into law, but this amendment never led to any charging of customers for either facility at issue -- the Crystal River plant or the uncompleted Levy County plant. Instead, the operative law was signed in 2006, when Bush -- Crists Republican predecessor -- was governor. And ironically, its Scott whose decision has allowed a utility company to potentially benefit from the measure Crist signed."
483,484,3584.json,true,Foreign aid makes up about 1 percent of our entire budget.,"federal-budget,foreign-policy",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech.,"The totals reflect both economic and military aid. So Obama was almost exactly right in saying foreign aid consumes about 1 percent of the U. S.  budget. In fiscal 2008 U. S.  foreign aid spending of $49. 1 billion made up 1. 64 percent of total spending. The next year foreign aid spending was $44. 9 billion, or 1. 28 percent of the total budget."
484,485,10014.json,true,"We have a retiree that is collecting a $17,000 paycheck a month . . . tax free.","debates,debt,deficit,disability,economy,history,labor,legal-issues,pensions,public-safety,retirement,unions,workers",jorge-elorza,Law professor,Rhode Island,democrat,1.0,1.0,0.0,2.0,0.0,a Providence Journal-WPRI debate,"Jorge Elorza said, ""We have a retiree that is collecting a $17,000 paycheck a month . The city's biggest retirement check goes to a retired fire chief who is getting $16,401."
507,508,11414.json,true,60 percent of all Americans do not want to see Planned Parenthood defunded.,"abortion,federal-budget,health-care,polls,public-health,women",gwen-moore,U.S. House member -- 4th District,Wisconsin,democrat,3.0,4.0,4.0,3.0,1.0,a speech,"She said although it isn't clear how much attention Americans are paying to the videos controversy, the available polling data suggests most support continued funding. Our rating Moore said: ""60 percent of all Americans do not want to see Planned Parenthood defunded. ""Three national polls put the support at 60 percent or higher. Two others show support of less than 60 percent, but taken together, the average support among the five polls is nearly 59 percent."
543,544,10071.json,true,"Says Rick Scott changed his promise from700,000 jobs created on top of what normal growth would be to just 700,000 jobs.","economy,jobs",charlie-crist,,Florida,democrat,15.0,9.0,20.0,19.0,2.0,a campaign ad,"Crists ad says that Scott changed 2010 his 2010 promise of 700,000 jobs created ""on top of what normal growth would be"" to just 700,000 jobs. Thats a difference of 1 million jobs, as had been projected by economists. The ad provides a concise but accurate summary of Scotts 2010 pledge and then his public statements that modified the terms."
545,546,6146.json,true,"Gov. Romney was very clear, he would veto the DREAM Act.",immigration,david-plouffe,Senior Adviser to the President,,democrat,1.0,0.0,0.0,2.0,0.0,a comment on 'Fox News Sunday',"Romney was very clear, he would veto the DREAM Act. ""Romney did say that, without equivocation, during the Republican primary. He has not indicated a change in that position. Its worth pointing out, though, that Romney does support one element of the DREAM Act: allowing young illegal immigrants who were brought to the United States as children ""to become permanent residents, and eventually citizens, by serving honorably in the United States military,"" according to a statement from the campaign. The DREAM Act, though, provided a path to legal status to young people who are in school, without serving in the military."
549,550,2660.json,true,"Lizbeth Benacquisto broke election law 105 times, hiding special interest contributors.","ethics,message-machine",kevin-rader,,Florida,democrat,0.0,0.0,0.0,1.0,0.0,a TV campaign ad,"We found that of 673 contributions to Benacquisto so far this year, 150 times the occupation isnt listed, according to information on the Florida Division of Elections website. In fairness, well note that inRaders last report, for the period of Sept.  25 through Oct.  8, he also fails to list occupation 14 times among the 104 donors, according to the state Division of Elections website. Florida Election Commission Clerk Patsy Rushing said on Oct.  21 that no complaints have been filed against Benacquisto in this race. Well leave it up to you to determine whether theres intent to leave off contributors names or just sloppiness by the campaign."
557,558,2015.json,true,"The company I created, Point Judith Capital, ""is the only venture capital firm in Rhode Island.""",candidates-biography,gina-raimondo,venture capital company founder,Rhode Island,democrat,2.0,1.0,2.0,5.0,1.0,a video on her web page,"They are represented in the state by the Cherrystone Angel Group. ""They tend to be individual  investors acting like investment clubs"" and think of themselves as being  in a separate class from venture capital firms, said Horan. Peter  Dorsey, executive director of Cherrystone, agreed, explaining that his  group, with 50 members, differs from a venture capital firm because it  is not a committed fund, not professionally managed and doesn't  have a paid staff. Finally, people often think of private equity  firms, such as Providence Equity Partners, as being involved in venture  capital, but they invest only in mature companies, he said. Providence  Equity, for example, specializes in enterprises that deal with  media, communications and information. So both Dorsey and Horan  agree with Raimondo, who told The Providence Journal on Jan.  20 that she would quit Point Judith Capital if  she is elected. Point Judith is ""the one capital venture fund  based here in Rhode Island,"" Horan said, adding that, ""We need more. The  Rhode Island entrepreneurial community would benefit greatly if other  firms like Point Judith were established and operating here."
580,581,3563.json,true,Proposed fees for Rhode Island beaches will still be less than some of the town beaches.,"recreation,state-budget",richard-licht,state director of administration in Rhode Island,Rhode Island,democrat,0.0,0.0,0.0,0.0,0.0,TV interview,"On weekends and holidays, the states new fee would be $14 -- less than fees in 8 of the 12 beach towns. So when Licht says the new state fees are less than ""some"" of the town beaches, we cant disagree. In fact, the state fees are lower in many instances. We wont kick any sand at Licht on this one."
586,587,10413.json,true,"Over the past five years, the American automobile industry has created about 500,000 new jobs.","economy,jobs",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech in Wayne. Mich.,"Obama said that over the past five years, the American automobile industry has ""created about 500,000 new jobs."
596,597,2656.json,true,Says Ron Johnson likes to say there are too many lawyers in the Senate 57. Hed be the 70th millionaire.,candidates-biography,russ-feingold,,Wisconsin,democrat,2.0,4.0,7.0,5.0,1.0,a campaign rally,"In turning the tables on Johnson, Feingold says the problem isnt lawyers in the Senate, but millionaires. He pegs Johnson as the would-be 70th, though that would be in the current Senate -- not whatever mix is there after the election. By our calculations, and those of the Center for Responsive Politics, Feingold is accurate. If anything, the methodology underestimates a persons net worth -- and therefore may under-count the actual millionaires in the body."
605,606,7203.json,true,"Even hunters are restricted from using large capacity magazines: there is a five cartridge limit for large game hunting, and three for bird hunting.","guns,recreation",ginny-burdick,,,democrat,0.0,0.0,0.0,0.0,0.0,an email,"Thats a question for policy makers, not fact checkers. There are limits on how hunters shoot wildlife and game in Oregon, even if there are people who think that should have no bearing on the right to bear arms."
612,613,6319.json,true,"The state of Georgia has lost 200,000 total jobs and 50,000 construction jobs since May 2007.",transportation,kasim-reed,,,democrat,1.0,0.0,5.0,7.0,1.0,news conference,Reeds overall point is that the region could use the jobs that might be created by these transportation projects. And it is uncertain how many jobs the projects would create. But the jobs-loss numbers Reed used to back up his argument were correct for the number of total jobs lost since 2007. Reed actually underestimated the total of jobs lost since 2007 in the construction industry.
648,649,659.json,true,"Biden is ""one of the least wealthy members of the U.S. Senate.""",candidates-biography,howard-dean,Democratic National Committee chairman,Vermont,democrat,1.0,4.0,1.0,2.0,0.0,a TV interview,"Much of McCain's wealth comes from his wife, Cindy McCain, who is chairman of Hensley & Co. , her family's Arizona beer distributorship. So congratulations, Sen.  Biden, you are in fact one of the least, if not the least, wealthy members of the U. S.  Senate. We bet book sales for a vice presidential candidate will soon change that."
688,689,11863.json,true,Owen in MA vs. Owen in RI Advantage:Rhode Island.,"corporations,economy,jobs",gina-raimondo,venture capital company founder,Rhode Island,democrat,2.0,1.0,2.0,5.0,1.0,economic development report,"There are lots of factors, beyond salaries and rental costs, that govern which state is best for GE or best for Owen. But when looking only at Owens prospective salary and rental costs, its clear Rhode Island is more advantageous for GE, which was the target of Raimondos presentation."
702,703,9862.json,true,"In Georgia, Perdues company closed plants and moved jobs to China.",job-accomplishments,michelle-nunn,"Chief Executive Officer, Points of Light Foundation",Georgia,democrat,3.0,0.0,1.0,2.0,0.0,an ad,"As a senior vice president, Perdue had limited input on that direction. But he did execute Sara Lees effort, which the company lauded in its own annual report to federal regulators."
708,709,2139.json,true,"Over the last 10 years, incomes for the top 1 percent have grown. Meanwhile, the bottom half of the country, theyve seen their wages stagnate.","economy,pundits,abc-news-week",donna-brazile,Political commentator,"Washington, D.C.",democrat,0.0,1.0,4.0,7.0,0.0,"a roundtable discussion on ABC's ""This Week""","The CBO numbers showed relatively small increases in income for those in the bottom half, compared with the 74. 6 percent gain for the top 1 percent. Mean income for the top 1 percent rose from $755,700 in 1997 to slightly more than $1. 3 million 10 years later. The most recent 10-year data -- from Census -- shows income falling for those in the bottom 50 percent and increasing for the top 5 percent. Most of the experts we talked to said Braziles underlying argument is on solid ground."
711,712,6652.json,true,The Obama administration is allowing state waivers from welfare work requirements only if they had a credible plan to increase employment by 20 percent.,welfare,bill-clinton,former president,Arkansas,democrat,4.0,2.0,12.0,11.0,3.0,a convention speech,"Thats important too -- the waivers would be considered for individually evaluated pilot programs. HHS is not proposing a blanket, national change to welfare law. The waiver offering was spurred by requests from several governors, including Republican governors, and Sebelius explicitly stated that only requests that ""demonstrate clear progress"" toward enhancing employment will be approved by HHS."
733,734,939.json,true,We are making the largest investment in education in our nations history.,"education,stimulus",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a bill signing ceremony in Denver.,"Other departments in the federal government also spend money on education through scholarship programs, school lunches and the like, amounting to total federal spending of about $170 billion a year. But there's no reason to believe those other programs won't continue this year as well, pushing total federal education spending to new heights. It does appear that the stimulus money will push federal spending on education  both within the Education Department and across the federal government as a whole  higher than it has ever been."
738,739,263.json,true,Sen. Obama's chair in New Hampshire is a lobbyist. He lobbies for the drug companies.,ethics,hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,"a debate in Manchester, N.H.","Despite the Obama campaign's contention that there is a difference between lobbyists at the federal level and lobbyists at the state level, Clinton's charge was unspecific. It simply says Obama's chair in New Hampshire is a lobbyist."
770,771,1741.json,true,Congress can tell [the Supreme Court] which cases they ought to hear. We have that authority.,supreme-court,arlen-specter,Senator,Pennsylvania,democrat,0.0,0.0,0.0,1.0,0.0,an interview on MSNBC's Daily Rundown,"""They do have to act in general terms. ""According to the Constitution, Congress has the authority to do  just that: it can write legislation that gives the court appellate  jurisdiction over certain cases, as it did when it passed the Voting  Rights Act. However, our experts said Congress cannot tell the Court  that is must hear a specific case."
772,773,6998.json,true,Says Mitt Romney wants to add $2 trillion to defense budget that the military hasnt asked for.,"debates,military",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a presidential debate,"""Its hard to see daylight between the military and the White House on this,"" Bensahel said. Broadly speaking, it is always possible that the service chiefs would disagree over funding of individual programs but that is within the overall budget limits. Our ruling    The president said Romney planned to increase defense spending by $2 trillion and that was money the military hadnt asked for."
817,818,2816.json,true,Federal spending is the highest its been as a share of our economy in 60 years (and) revenue is the lowest its been as a share of our economy in 60 years.,"economy,federal-budget,taxes,abc-news-week",kent-conrad,U.S. Senator,North Dakota,democrat,0.0,0.0,0.0,1.0,0.0,"an interview on ABC's ""This Week with Christiane Amanpour""","According to the table, tax receipts as a share of GDP were always higher all the way back through 1950, when they accounted for 14. 4 percent of GDP. That would be 59 years -- not quite 60, but very, very close. The recession factors into the tax revenue statistic as well. Both the 2008 stimulus package under President George W.  Bush and the 2009 stimulus under President Barack Obama included tax breaks as a major component."
829,830,3359.json,true,Texas would have to increase current state spending by 28 percent just to reach the national average for spending per resident.,state-budget,scott-mccown,"executive director, Center for Public Policy Priorities",Texas,democrat,0.0,0.0,0.0,0.0,0.0,a letter.,"But when we ran this past Mark Robyn, the foundations staff economist, he cautioned that the 2007 chart is outdated. More recently, a 2009 report by the Kaiser Family Foundation shows Texas with state spending of $3,630 per person compared to the national average of $5,038--an indication that Texas would have had to increase its spending 39 percent that year to reach the national average. A footnote to the foundations research posted online says the spending figures were obtained from the National Association of State Budget Officers. DeLuna of the Austin center said the NASBO total doesnt take into account some Texas spending that the census bureau counted, such as extra money for state universities and Food Stamp benefits."
870,871,3613.json,true,[Appalachian Power] wants another 10 percent rate increase. The compensation package for CEO Mike Morris rose 22 percent to $8.7 million in 2010.,market-regulation,ward-armstrong,"Minority leader, House of Delegates",Virginia,democrat,0.0,3.0,0.0,0.0,1.0,a Twitter post.,"Readers could easily conclude from his message that Mike Morris is Apcos CEO. Thats not the case; Morris is actually CEO of American Electric Power, Apcos parent company. But Armstrong does cite Morriss 2010 salary, and the increase from 2009, accurately. The salary figures for Apco CEO Charles Patton are not available."
1004,1005,1519.json,true,"Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.","bipartisanship,health-care",harry-reid,Senate Democratic Leader,Nevada,democrat,4.0,5.0,3.0,7.0,3.0,the televised health care summit,"Whether or not a reconciliation bill on health care meets the intent of the legislative procedure is certainly a matter for legitimate debate. But Reid said reconciliation has been used 21 times since 1981, and that most of the time, it's been Republicans who have initiated it. We find that there have been 22 reconciliation votes, 14 of them by a Republican-controlled Congress, and that it makes more sense -- in light of the debate over making an end-run around the 60-vote threshold -- to focus on the reconciliation bills that passed without a supermajority. But even then, Republicans have reached for reconciliation bills more often than Democrats since 1981."
1027,1028,5237.json,true,Says he eliminated an EPA rule that treated spilled milk like it was oil.,"agriculture,environment,government-regulation",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the State of the Union address,"Obama said his administration got rid of a rule that regulated milk in the same manner as oil, as an environmental hazard when spilled. The original regulation had been in effect since 1973, and the EPA under Obama moooooooved it out in April 2011."
1034,1035,1997.json,true,I have filed every disclosure that has ever been required.,ethics,gail-buckner,State Senator,Georgia,democrat,0.0,0.0,0.0,0.0,0.0,political debate,"It lists everything from Buckners salary, to the value of her home and vehicles. Horlacher said he still thinks Buckner has violated the letter and intent of the filing requirement. And he vowed not to drop the issue. I am down to deciding whether to formally request an advisory opinion from the [Ethics] Commission, he said. I think the state might be better off just to get clarification on this so it is not repeated. But as of now, Buckner appears to have done what is required of her."
1057,1058,13084.json,true,Says thatRepublican Darryl Glennhas described Democrats as evil and has said hes tired of hearing about Republicans reaching across the aisle.,bipartisanship,michael-bennet,,Colorado,democrat,0.0,0.0,1.0,0.0,0.0,a Senate candidates debate,"Bennet said thatRepublican Darryl Glennhas described Democrats as ""evil"" and has said he's ""tired of hearing about Republicans reaching across the aisle. ""Glenn doesn't back away from his disdain for bipartisanship."
1093,1094,7601.json,true,Says 90 percent of Americans and 74 percent of National Rifle Association members support background checks of gun purchasers.,"guns,market-regulation",lee-leffingwell,Austin mayor,Texas,democrat,1.0,0.0,4.0,1.0,0.0,a press conference.,"Austins mayor said 90 percent of Americans and 74 percent of National Rifle Association members support universal background checks for gun purchases. Polls taken in 2012 and 2013 support both figures, though one taken closest to Leffingwells press conference indicates support among all Americans possibly slipping a bit below 90 percent. Also, the 2012 poll he cited for NRA members rolled together responses of current and former/lapsed members. Then again, a 2013 poll similarly suggests that 74 percent of NRA members favor universal background checks."
1123,1124,13087.json,true,Latinos are 17 percent of our countrys population but hold only 2 percent of its wealth.,"diversity,economy,families,income,population,poverty",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,a speech,"Clinton said, ""Latinos are 17 percent of our country's population but hold only 2 percent of its wealth. ""Census Bureau data confirm the 17 percent. Federal reserve data from 2010 and more recent data from 2013 show that the 2 percent figure is on target as well."
