,index,statement_id,label,statement,subject,speaker,speaker_job_title,state_info,party_affiliation,barely_true_counts,false_counts,half_true_counts,mostly_true_counts,pants_on_fire_counts,context,extracted_justification
139,140,7714.json,true,Says new Medicare billing guidelines have nine codes for (injuries by) turkeys.,"animals,government-regulation,health-care,medicaid,medicare,market-regulation",ted-poe,U.S. House Representative,Texas,republican,1.0,1.0,1.0,0.0,0.0,an interview on Fox Business Network,"Poe said doctors face a new regulatory burden, requiring them to use a system that includes nine different codes for turkey injuries. Indeed, if your Thanksgiving tradition takes a tragic turn that year, your doctor will be able to describe it in seven-digit detail. (We hope its just W61. 42XA and not W61. 43XS."
143,144,99.json,true,One man opposed a flawed strategy in Iraq. One man had the courage to call for change. One man didn't play politics with the truth.,iraq,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a TV ad,"With it, McCain hopes to turn a neat political trick: Supporting the overall policy, while reminding people that he would have done it differently. But among his major Republican competitors for the presidential nomination, McCain is right."
178,179,4759.json,true,Ilana Shafran Mandels stake in Forest City Enterprises constitutes significantly less than 1 percent of the companys shares and any implication of a conflict of interest is legally incorrect.,"candidates-biography,transparency",josh-mandel,Ohio treasurer,Ohio,republican,4.0,5.0,4.0,5.0,6.0,a news release,"And it isnt to say that Democrats wont look at her roughly half-a-million-dollar stake in Forest City and ask whether her husband should have abstained from voting, strictly on principle. Were willing to bet on that. But the Mandel campaign is accurate in describing her share of Forest City ownership as minor. And it is correct in citing the 1999 advisory opinion that would appear to apply to Mandels legislative vote."
204,205,4803.json,true,"When the national debt reaches $15 trillion, it means that U.S. debt-to-GDP ratio will reach 99.7 percent of our debt and this is $47,900 for every living American.","deficit,federal-budget",leonard-lance,,,republican,0.0,0.0,1.0,2.0,0.0,a speech on the House floor,"In a speech supporting a balanced budget amendment, Lance said when the national debt hits $15 trillion, it will represent 99. 7 percent of the nations economy and equal $47,900 for every living American. The total national debt changes constantly. Lances statistics were based on a website called www. usdebtclock. org. Those numbers back Lances statement. Using federal data we calculated the statistics and reached similar results. And both sets of numbers illustrate the same point: the nations debt is nearly the size of the nations economy."
225,226,12633.json,true,More people now die in Wisconsin from drug overdoses than car crashes.,drugs,brad-schimel,,,republican,0.0,2.0,1.0,0.0,0.0,an opinion piece,"So both age-adjusted and raw numbers show that beginning in 2008 or 2009 (depending on which numbers you use) more people in Wisconsin died from drug use than from car crashes. Nationally, the total number of drug-related deaths surpassed the number of motor vehicle deaths in 2008 -- about the same time the numbers flipped in Wisconsin. Our rating Schimel said more people now die in Wisconsin from drug overdoses than car crashes. The most recent data available from 2014 supports his statement -- 2009 was the first year when more people died from drug overdoses than in car crashes."
240,241,627.json,true,"The musical Mamma Mia! has ""been selling out for years.""",pop-culture,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"a town hall in Aspen, Colo.","For example, it sold out its performances the weeks ending Aug.  3 and Aug.  10, selling about 101 percent of its seats (the number exceeds 100 because it includes standing-room tickets). A survey of other weeks in the past year found the show nearly sold out or exceeded capacity. Alfred Branch Jr. , news editor of TicketNews, told us that the show is ""a virtual sellout most nights. ""So McCain is right that     Mamma Mia    has been selling out for years."
268,269,5410.json,true,Over 40 percent of children born in America are born out of wedlock.,"marriage,sexuality,women",rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,"a Republican presidential debate in Mesa, Ariz.","Federal data backs up Santorums contention that ""over 40 percent of children born in America are born out of wedlock. ""In fact, the number for 2009, the most recent available, is a record high, based on the data included in the federal report."
307,308,6427.json,true,"In June 2012 we actually had more people go on Social Security Disability [85,000] ... than the 80,000 jobs that were created.","economy,jobs,social-security",allen-west,"U.S. representative, Florida District 22",Florida,republican,6.0,9.0,3.0,1.0,4.0,a radio interview,"Rep.  Allen West said that the number of people who became recipients of Social Security Disability in June (85,000) was higher than the number of jobs created that month (80,000). West quoted the numbers accurately."
348,349,10556.json,true,The Clintons foundation took millions from foreign governments including United Arab Emirates and Saudi Arabia.,"campaign-finance,foreign-policy,campaign-advertising",american-crossroads,,,republican,5.0,5.0,4.0,0.0,0.0,a video,"As we noted, it doesnt violate campaign rules for a nonprofit philanthropy to accept donations from foreign governments. Over the years, the Clinton Foundation has taken millions of dollars from foreign governments. This includes between $1 million and $5 million from the United Arab Emirates and between $10 million and $25 million from Saudi Arabia. At least a portion of those donations came in 2014, after Clinton left the State Department and formally joined the familys foundation that had previously been in her husbands name alone."
377,378,1771.json,true,"In the last 50 years, (the federal government has) only balanced the budget five times.","federal-budget,message-machine",vern-buchanan,U.S. Rep.,Florida,republican,1.0,1.0,1.0,0.0,0.0,in a web video.,"According to the Office of Management and Budget, the four surpluses totaled more than $559 billion. The fifth surplus -- $3. 2 billion -- came in 1969, when Richard Nixon was president. The last surplus before that was in 1960, 51 budget years ago, and outside the window of Buchanan's statement. While a federal surplus is rare in modern history, that's not always been the case. A 1998 study of budget surpluses and deficits conducted for the House Joint Economic Committee found that federal surpluses outnumbered deficits 108 to 100, ""with surpluses dominating in a large majority of the years prior to 1930. ""Urging increased fiscal restraint in Washington, Buchanan lamented in a web video that the federal budget has only been balanced five times in the last 50 years. While the use of the word balance isn't 100 percent right, Buchanan is correct that the federal government has been able to cover its yearly expenses just five times since 1961 -- in 1969 and from 1998-2001."
412,413,1399.json,true,"We definitely lost way more jobs in Texas this year than we gained we lost 300,000 jobs in Texas alone this year.",economy,kay-bailey-hutchison,U.S. Senator,Texas,republican,2.0,4.0,4.0,3.0,0.0,a debate.,"That net job loss stands in contrast to 2007-08, when Texas led the nation in net job gains, as the Perry campaign frequently notes. Stay tuned for Jan.  22 when the commission updates its data with December's employment rate. And again in March, when number crunchers fine-tune their report."
430,431,3249.json,true,The United states is borrowing more than 40 cents of every dollar we spend.,"deficit,federal-budget,social-security",scott-rigell,U.S. Congressman,Virginia,republican,2.0,2.0,0.0,1.0,0.0,a press release.,"But when Social Security and Postal Service funds are excluded, as they are from the annual federal budget, the size of the deficit climbs above 40 percent. By one measure, Rigell slightly over-estimates the percentage of our annual spending that is deficit-based. By another, he slightly under-estimates it."
432,433,7264.json,true,I am now the No. 2 member of this House in terms of length of service.,"job-accomplishments,public-service",bill-batchelder,State representative,Ohio,republican,0.0,1.0,1.0,1.0,3.0,a speech on the House floor,"Batchelder, who left the House for a judgeship in 1999, now has served for more than 35 years. He has never served in the Senate. Term limits will prevent him from seeking another House term in 2014."
436,437,11630.json,true,More black babies are aborted in NYC than born.,"abortion,corrections-and-updates,women",cynthia-meyer,"Deputy press secretary, Office of the Attorney General of Texas",Texas,republican,0.0,0.0,0.0,0.0,0.0,a tweet in response to Democratic presidential debate,"Click here formoreon the six PolitiFact ratings and how we select facts to check. CLARIFICATION, 4:20 p. m. , Dec.  1, 2015: We amended this fact check to clarify that the described 2013 abortion rate for black women related to women aged 15 to 49."
490,491,2048.json,true,Were spending $1 trillion a year on our foreign policy.,"federal-budget,foreign-policy,military",ron-paul,U.S. representative,Texas,republican,5.0,8.0,8.0,8.0,3.0,a CNN interview,"Our experts acknowledged that the figure largely depends on one's definition of ""foreign policy. ""Changing the definition means altering the expenses that one includes in the calculation. There was disagreement, for example, on whether to include the interest payments on debt-financed military spending and how to calculate that debt. Still, give or take, most of the numbers that the experts threw at us come relatively close to, or even exceed, the $1 trillion mark."
515,516,9520.json,true,Republican candidate for governor Ken Block was fined and had to admit that (he) funneled money illegally to the Moderate Party.,"campaign-finance,candidates-biography,history",allan-fung,"mayor, city of Cranston, R.I.",Rhode Island,republican,2.0,2.0,0.0,2.0,1.0,a debate,"Fung, during the debate, didn't go into details. He simply said that Block was ""fined and had to admit that [he] funneled money illegally to the Moderate Party."
528,529,8541.json,true,"During my eight years as county executive, we cut the number of county workers by 20 percent.","county-budget,county-government,unions",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a book,"But because the workers didnt become state employees until 2011, the reduction does not affect the employee tally during Walkers county time, which ended in December 2010. Our rating First-time author Scott Walker wrote that, ""during my eight years as county executive, we cut the number of county workers by 20 percent. ""The governors memory is correct."
548,549,7407.json,true,Collectively states are spending more on Medicaid than they do on K-12 education.,"education,medicaid,state-budget",eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,a speech.,"Cantor said states are spending more on Medicaid than on education. His statement is correct, although it should be noted that a substantial portion of the dollars states are spending on Medicaid come from the federal government."
559,560,8520.json,true,"In fact, theres more state funding for education today than any other time.","education,state-budget",chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,a response to a public school teacher,"Christie last week said during an argument with a teacher, ""In fact, theres more state funding for education today than any other time. ""Critics frequently call the governor out for the massive funding cuts hes made to education since taking office, and for either increasing state aid by a minimal amount or not at all. But the fact of the matter is that despite the cuts, New Jerseys education funding level is the highest its ever been."
573,574,264.json,true,Ronald Reagan did amnesty.,immigration,rudy-giuliani,Attorney,New York,republican,9.0,11.0,10.0,7.0,3.0,"a debate in Manchester, N.H.","Alas, the law failed to stop illegal immigration, and many critics of the law say the government never thoroughly regulated employers who skirted the law's requirements. This much is certain: If the law aimed to curb illegal immigration, it failed: When the law was passed, there were about 5-million illegal immigrants; now, there's an estimated 12-million. When Reagan signed the law, many predicted it would encourage the hiring of more migrants, especially outside of agriculture, and that this would spur the backlash against immigration that we're seeing today. Giuliani, it would seem, brought up Reagan's legacy to show how difficult the immigration issue is."
583,584,3719.json,true,There is a situation in this country where youre nearing 50 percent of people who dont even pay income taxes.,taxes,eric-cantor,House Majority Leader,Virginia,republican,9.0,6.0,4.0,4.0,4.0,"an appearance on CNBC's ""Squawk Box""","But popular lower and middle income breaks like earned income tax credits, child credits and mortgage interest deductions do get a majority of the population off the hook. Cantor acknowledged the need for eliminating certain tax loopholes and deductions while also pointing out that ""we also have a situation in this country where you're nearing 50 percent of people who don't even pay income taxes. ""Not only are we nearing that situation, but as the Joint Committee on Taxation pointed out shortly after Cantors statement, we moved beyond it."
604,605,4232.json,true,Theres actually 600 abortions done after the 20th week of pregnancy every year in Ohio.,abortion,peggy-lehner,State senator,Ohio,republican,0.0,0.0,0.0,0.0,0.0,a radio interview,"We also checked Lehners follow-up point and it also was accurate. In 2009, there were 216 abortions when the pregnancy was at least 23 weeks along. Lehner slightly understated the number of abortions that occurred in the timeframe she referenced during the radio program. Still, her understatement does not undercut the argument she is trying to make."
647,648,4787.json,true,Torture is illegal by our laws. Its illegal by international laws.,"foreign-policy,human-rights,legal-issues",ron-paul,U.S. representative,Texas,republican,5.0,8.0,8.0,8.0,3.0,"a Republican presidential debate in Spartanburg, S.C.","Paul's comment came immediately after a discussion of waterboarding, and well note that there is not a consensus that waterboarding constitutes torture. That said, Pauls statement is 100 percent correct: There is no question that torture is barred in both U. S.  and international law."
656,657,2734.json,true,"Sen. Harry Reid voted against declaring English our national language, twice.","immigration,message-machine",sharron-angle,Republican nominee for Nevada U.S. Senate seat,Nevada,republican,3.0,1.0,1.0,0.0,0.0,a TV ad,"To this day, no ""official language"" exists at the federal level. The bottom line here is that Reid twice voted against amendments to ""declare English as the national language of the Government of the United States,"" even as he voted for an amendment ""to declare that English is the common and unifying language of the United States. ""The ad says Reid twice voted against declaring English our national language. Reid not only voted against the bills, he was quite vocal in his opposition."
673,674,2016.json,true,Weare picking up oil with shovels and paper and plastic bags.,oil-spill,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,"an interview on ""Fox & Friends""","BP officials also say thick tar clogs mechanical rakes. The machinery that is being used is largely out on the water, in the form of skimming vessels, that scoop up the thick mats of oil that have formed on the surface of the water. There are currently five state-leased skimming vessels working off the Florida panhandle, but elected officials and Panhandle residents alike have complained, as Rubio does,that more skimmers should have been deployed by BP and the federal government right after the oil rig explosion to keep oil from creeping toward the shoreline in the first place. So while Rubio may have been slightly off when saying paper bags were used in the clean-up effort, theres plenty of plastic bags and shovels being used to haul off the tar balls."
682,683,2335.json,true,Jennifer Carroll is the first African-American Republican woman to be part of a statewide ticket in Florida.,"candidates-biography,elections",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a press release.,"We really don't want to get into a race debate about what constitutesAfrican-American. Suffice to say she is the first black woman to be on the GOP ticket. In announcing his pick for lieutenant governor, Scott said Carroll ""is the first African-American Republican woman to be part of a statewide ticket in Florida. ""The sample size is smaller than you might think, but Scott is right."
720,721,13096.json,true,We spend more per student than almost any other major country in the world.,"education,government-efficiency",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a rally in Cleveland,"Trump said that in the United States spends ""more per student than almost any other major country in the world. ""Trumps assertion that U. S.  taxpayers dont get enough bang for their relative buck, when our students test scores are ranked worldwide, checks out. The most recent numbers put the United States at third for government spending on education, behind Switzerland and Norway."
745,746,10571.json,true,America produces more oil and gas than any other nation in the world.,energy,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a speech.,Perry said the U. S.  produces more oil and natural gas than any other country in the world. EIA figures show hes correct.
785,786,12287.json,true,"As a former federal prosecutor, I prosecuted over 4,000 cases.","candidates-biography,criminal-justice,legal-issues",catherine-hanaway,Candidate for governor of Missouri,Missouri,republican,0.0,1.0,0.0,0.0,0.0,a debate,"Hanaway told an audience that she prosecuted over 4,000 cases during her time as the U. S.  attorney for the Eastern District of Missouri. Based on federal data, Hanaways office dealt with well over 4,000 cases and each case required her personal signature. Her words might suggest that she handled each case herself, but most listeners would understand that she ran a large office."
789,790,3147.json,true,Says there have been 50 million abortions since Roe v. Wade was decided.,abortion,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a speech,"Perry's statement indicating that there have been 50 million abortions in the United States since 1973 appears to be on target. The Guttmacher Institute estimates that there were 49. 3 million abortions in the U. S.  through 2008  700,000 shy of 50 million. Considering that Guttmacher says there were more than 1 million abortions in both 2007 and 2008, it's reasonable to conclude that the United States has reached the 50 million mark."
799,800,12751.json,true,Our trade deficit in goods reached nearly $800 billion last year alone.,"economy,trade",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a speech at the Republican National Convention in Cleveland,"Trump said, ""Our trade deficit in goods reached nearly  $800 billion last year alone. ""In 2015, the goods trade deficit was $763 billion."
834,835,4187.json,true,"Thirty-four of the last 44 (debt ceiling increases) have been for less than a year. So, this notion that short-term is somehow the exception, its actually the rule.","deficit,federal-budget",rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,an interview on MSNBC,"""You could argue things are different now  its more difficult for Congress to act, and the spending and deficit problems we face combine with legislative uncertainty around the debt limit deadline to create undesirable financial market pressures,"" Hennessey wrote in his blog. But he added, ""A debt limit extension of three, six, or nine months would be routine based on historic practice. ""Thats what Portman said, too -- that 34 of the last 44 have lasted for less than a year."
842,843,5546.json,true,"In 1950, the average American lived for 68 years and 16 workers supported one retiree. Today, the average life expectancy is 78 and three workers support one retiree.","retirement,social-security",frank-wolf,U.S. Representative,Virginia,republican,1.0,0.0,0.0,0.0,0.0,a news release,"Wolf said that 60 years ago, the average life expectancy was 68 years at a time when 16 workers supported each retiree on Social Security. Today, he said, the life expectancy is 78 and three workers support one retiree. Hes right on the numbers and highlighting a demographic challenge the Social Security Administration acknowledges is placing greater demands on the system."
863,864,4634.json,true,"When we got the income tax in 1913, the top rate was 7 percent. By 1980, the top rate was 70 percent.","history,taxes",michele-bachmann,Congresswoman,Minnesota,republican,8.0,22.0,6.0,4.0,16.0,a Republican presidential debate in Las Vegas,Bachmann has accurately presented the historical tax rates for the two years she cited.
873,874,5367.json,true,"Florida unemployment has dropped more than 2 percentage points, down from 12 percent to 9.9 percent, the second-largest drop in the nation.","economy,jobs",rick-scott,Governor,Florida,republican,28.0,23.0,38.0,34.0,7.0,a speech at the CPAC conference,"And even with the 2. 1 percentage point decrease, Florida still has the fifth-highest unemployment rate in the country."
884,885,2029.json,true,Sen. McConnell offered a fully paid two-month extension of unemployment insurance.,"economy,federal-budget",john-cornyn,Senator,Texas,republican,5.0,3.0,6.0,2.0,1.0,a conference call with Texas reporters,"Of late, congressional efforts to extend unemployment insurance benefits have failed  including McConnell's proposal to finance an extension by paying for it with stimulus funding."
899,900,13477.json,true,Says John Bolton supported the Iraq War and said last year thatI still think the decision to overthrow Saddam was correct.,"foreign-policy,military,terrorism",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7.0,8.0,10.0,12.0,3.0,a column on rare.us,"Paul said Bolton was a supporter of the Iraq War who said last year, ""I still think the decision to overthrow Saddam was correct. ""Bolton did indeed say that to a reporter for the Washington Examiner, and he also made a similar comment published in the Washington Post on the same day. We were not able to find any published comments in which Bolton offered a substantially different opinion."
914,915,12132.json,true,"During three and a half years of campaigning, Lamar Smith has never once appeared at a moderated debate to defend his positions on the issues.",elections,matt-mccall,Small business owner,Texas,republican,0.0,0.0,0.0,0.0,0.0,Press release,"McCall said that in the years hes been challenging Smith, the incumbent ""has never once appeared at a moderated debate to defend his positions on the issues. ""Our search for signs of Smith joining a candidate debate came up empty. Also, given opportunities, Smith didnt alert us to any such moment; a photo noted by Smiths consultant wasnt from a debate."
932,933,11115.json,true,(Hillary Clintons State Department) actually admonished one of her ambassadors because he wasnt using the proper server.,"technology,transparency",rand-paul,Candidate for U.S. Senate and physician,Kentucky,republican,7.0,8.0,10.0,12.0,3.0,"an interview on ""Fox News Sunday""","Paul said the State Department under Clinton ""actually admonished one of her ambassadors for not using the proper server. ""The ambassador in question, Scott Gration, was effectively fired from his post in Kenya in 2012 mostly because of his poor management skills but also for his email management. The departments office of the inspector general, which works independently, called Grations use of a personal email account for government business a leadership failure and a security risk."
945,946,10029.json,true,The states overall revenues only returned this year to 2007 levels.,"economy,state-budget,state-finances",nathan-deal,,,republican,9.0,5.0,11.0,11.0,0.0,candidate forum,"At the low point --- which was the fiscal year that ran from July 1, 2009 to June 30, 2010 -- total tax collection were about $14. 5 billion -- or $3. 3 billion off the peak. It wasnt until Fiscal 2014, which ended June 30 of this year, that total state tax collections were back to -- and slightly above -- 2007 levels, budget documents show. Tax collections for 2014 were $17. 9 billion -- or about $100 million over 2007 levels. The governor is right on the money on this one."
952,953,1325.json,true,Obama has admitted a cap and trade plan would cause electricity bills to skyrocket.,"cap-and-trade,climate-change,energy,environment",sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,"her book ""Going Rogue""","Recent estimates by the Congressional Budget Office and the Environmental Protection Agency are much lower  between $80 and $340 a year, depending on income. So the climate debate has changed substantially since Obama sat down with the  Chronicle  nearly two years ago. Despite those potential cost cuts, there's still little disagreement that consumers will pay for cap-and-trade, whether it's $3,100 a year or $340."
957,958,4336.json,true,"When Social Security first started, there was 16 workers for every retiree. Today there are three workers for every retiree and soon there will be only two for every retiree.",social-security,marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,a speech at the Ronald Reagan Presidential Library,"In some ways, it illustrates the main problem with Social Security -- more and more money is going out in benefits and less and less money is coming in through payroll taxes. Rubio said, ""When Social Security first started, there were 16 workers for every retiree. Today there are three workers for every retiree and soon there will be only two for every retiree. ""The official numbers from the Social Security Administration back him up."
981,982,5253.json,true,"Says the New York Giants train in New Jersey, they play in New Jersey and most of their players live in New Jersey.",sports,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,an interview on “Meet the Press”,"""They train in New Jersey, they play in New Jersey and most of their players live in New Jersey,"" he said. The Giants have called East Rutherford home since 1976 and started playing in its current stadium in 2010. For 15 years the team held its summer training camp at the University at Albany, but this years camp was held in New Jersey at the teams regular-season training facility. And every player on the teams current roster calls New Jersey home during football season, according to a Giants spokesman."
982,983,13130.json,true,"In Chicago, theyve had thousands of shootings, thousands since Jan. 1. Thousands of shootings.","crime,guns,public-safety",donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a Presidential debate,"Trump said, ""In Chicago, they've had thousands of shootings, thousands since January 1st. There have been more than 3,000 shooting victims in Chicago so far this year, according to media reports and gun violence experts. The count of shootings includes all types of shootings, including shootings of more than one person and on accident, and it should not be taken as a substitute for ""homicides."
993,994,10371.json,true,Western Europeans can fly in the United States without even having a visa.,terrorism,michael-mccaul,congressman,Texas,republican,1.0,0.0,1.0,4.0,0.0,"an interview on CBS ""Face the Nation""","McCaul said that Western Europeans can fly to America without a visa. However, while a visa is not required, European travelers must fill out an application. This is the start of a digital record that allows officials to sift through a variety of databases that can flag suspicious people. To date, the experts we contacted and the research we read spoke to a set of strategies that have so far been effective at reducing the risk of European terrorists entering the country."
996,997,6414.json,true,Ninety percent of the topsoil has inadequate moisture to grow crops.,"agriculture,states,water,weather",john-kasich,"Governor of Ohio as of Jan. 10, 2011",Ohio,republican,9.0,8.0,10.0,18.0,3.0,an announcement at the Ohio State Fair,"In the email, Watters did allow that the reporting process for soil conditions is subjective ""so we cannot say they are entirely accurate and peoples emotions get involved when we are under this much stress in the crops across Ohio. ""So where does that leave our agrarian-minded governor as we harvest our crop of facts?While an argument could be made that the weekly crop weather report shows only that 90 percent of the Ohio topsoil is inadequate to grow ""normal"" crops, we think its clear thats what Kasich meant in his remarks, even though he didn't use the word normal."
999,1000,5762.json,true,"The (ARC Tunnel) project was originally estimated to be $8.7 billion, and New Jersey alone was on the hook for all overruns.",transportation,jennifer-beck,,,republican,0.0,2.0,0.0,0.0,0.0,an interview on NJToday,"As a DOT spokesman confirmed, New Jersey would have been responsible for cost increases beyond the $8. 7 billion budget."
1033,1034,4143.json,true,On opposition to earmarks,"deficit,federal-budget,transportation",bill-johnson,U.S. representative,Ohio,republican,2.0,1.0,0.0,0.0,0.0,an online news story,"Its not a directed appropriation from Congress that targets a project. Its not buried in a larger piece of legislation making it difficult to oppose. Rather, its a request to the administration asking it to support the project."
1044,1045,1019.json,true,"Our government has now 'spent, lent, or committed' $12.8 trillion in its attempt to blunt the recession.","economy,stimulus",mark-sanford,Governor,South Carolina,republican,0.0,2.0,0.0,0.0,0.0,a commentary piece,"There are many ways to calculate the amount the United States has pledged to stem the recession. But we think the Bloomberg calculation is one legitimate way. And we think it was certainly fair for Sanford to cite it, so long as he includes those all-important qualifiers. And on two occasions at least, he did."
