;Unnamed: 0.1;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_neutral;model_answer_uk_option_match;model_answer_us_option_match;#_options;score_uk;score_us;overall_score_uk;similarity_score_uk;similarity_score_us;overall_score_us;similarity_model_answers_uk_us;similarity_ground_truth_answers_uk_us;model_answer_neutral_option_match;score_us_neutral;score_uk_neurtal;similarity_score_us_vs_neutral;similarity_score_uk_vs_neutral;overall_score_uk_neutral;overall_score_us_neutral;BERTScore_us_new;BERTScore_uk_new;BERTScore_us_uk_new
856;856;856;What's a typical sports drink?;;;GPT-4 generated;;;;;Gatorade.;Isotonic electrolyte beverage, like Lucozade Sport.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Gatorade or Powerade.;Energy drink with electrolytes and carbohydrates.;A typical sports drink is a beverage that contains electrolytes, carbohydrates, and fluids, designed to hydrate and replenish energy during or after physical activity.;;;0;0.0;0.0;0.3285722136497497;0.3285722136497497;0.5554569363594055;0.5554569363594055;0.86058515;0.55824864;;0.0;0.0;0.4298329949378967;0.2358168363571167;0.2358168363571167;0.4298329949378967;1.0;0.6145042181015015;0.7397080659866333
857;857;857;What do you call athletic footwear?;;;GPT-4 generated;;;;;Sneakers or tennis shoes.;Trainers.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Sneakers or tennis shoes.;Trainers or sports shoes.;I call athletic footwear sneakers or trainers.;;;0;0.0;0.0;0.5208650827407837;0.5208650827407837;0.6411498188972473;0.6411498188972473;0.87447065;0.47963208;;0.0;0.0;0.6580551266670227;0.4397188127040863;0.4397188127040863;0.6580551266670227;1.0;1.0;0.711877167224884
858;858;858;What's an important tennis tournament?;;;GPT-4 generated;;;;;Wimbledon.;Wimbledon.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;US Open.;Wimbledon.;The Wimbledon Championships is an important tennis tournament.;;;0;0.0;0.0;0.5887564420700073;0.5887564420700073;0.6063243746757507;0.6063243746757507;0.7186994;0.78096986;;0.0;0.0;0.687061071395874;0.7581796646118164;0.7581796646118164;0.687061071395874;1.0;1.0;1.0
859;859;859;What's a pick-up game?;;;GPT-4 generated;;;;;Informal sports game played spontaneously.;Informal sports match played spontaneously.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;Informal sports game organized spontaneously.;Informal sports game played spontaneously.;A pick-up game is an informal game of sports, usually arranged on the spot without formal teams or referees.;;;0;0.0;0.0;0.5989725589752197;0.5989725589752197;0.5962550640106201;0.5962550640106201;0.985137;1.0000001;;0.0;0.0;0.60007244348526;0.60007244348526;0.60007244348526;0.60007244348526;0.7339791059494019;0.7127403020858765;1.000000238418579
860;860;860;What do you call it when a player scores three goals in hockey?;;;GPT-4 generated;;;;;Hat trick.;A hat trick, mate.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;Hat trick.;Hat trick.;That's called a hat trick in hockey.;;;0;0.0;0.0;0.5118120312690735;0.5118120312690735;0.6610668897628784;0.6610668897628784;0.71932113;1.0;;0.0;0.0;0.5463124513626099;0.5463124513626099;0.5463124513626099;0.5463124513626099;0.7425040006637573;0.7425040006637573;1.0
861;861;861;What's the name of the lower house of parliament?;;;GPT-4 generated;;;;;House of Representatives.;House of Commons.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;House of Representatives.;House of Commons.;The name of the lower house of parliament varies depending on the country, but in the UK it's called the House of Commons.;;;0;0.0;0.0;0.7049696445465088;0.7049696445465088;0.455659955739975;0.455659955739975;0.4714644;0.78413653;;0.0;0.0;0.5285746455192566;0.6334426403045654;0.6334426403045654;0.5285746455192566;1.0000001192092896;1.0;0.9195488095283508
862;862;862;What's the name of the upper house of parliament?;;;GPT-4 generated;;;;;Senate.;House of Lords.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Senate.;House of Lords.;"The upper house of parliament is typically called the ""Senate"" in many countries.";;;0;0.0;0.0;0.7181249856948853;0.7181249856948853;0.5566941499710083;0.5566941499710083;0.78129107;0.5553154;;0.0;0.0;0.5205955505371094;0.5962631702423096;0.5962631702423096;0.5205955505371094;1.0;0.9999994039535522;0.8222602009773254
863;863;863;What do you call the leader of the main opposition party?;;;GPT-4 generated;;;;;"The leader of the main opposition party is called the ""opposition party leader.""";"The leader of the main opposition party is called the ""Opposition Leader.""";Education & Knowledge;;Binary Choice;Media, Technology, and Education;Leader of the main opposition party: Opposition party leader.;Leader of the main opposition party: Shadow Prime Minister.;The leader of the main opposition party is usually called the Opposition Leader.;;;0;0.0;0.0;0.7160284519195557;0.7160284519195557;0.4448788166046142;0.4448788166046142;0.881299;0.4046204;;0.0;0.0;0.4255688488483429;0.7042925357818604;0.7042925357818604;0.4255688488483429;0.4428807497024536;0.8950824737548828;0.42982587218284607
864;864;864;What do you call a member of parliament?;;;GPT-4 generated;;;;;Congressperson or lawmaker.;MP;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Congressman or Member of Parliament.;MP;A member of parliament is commonly referred to as an MP.;;;0;0.0;0.0;0.8757317066192627;0.8757317066192627;0.6599583029747009;0.6599583029747009;0.9594978;0.62305814;;0.0;0.0;0.65858393907547;0.882616400718689;0.882616400718689;0.65858393907547;0.6300492286682129;1.0;0.490411639213562
865;865;865;What's the voting age?;;;GPT-4 generated;;;;;18 years old.;18 years old, old chap!;Education & Knowledge;;Numerical Scale;Media, Technology, and Education;18 years old.;18 years old.;The voting age is typically 18 in most countries.;;;0;0.0;0.0;0.4448142647743225;0.4448142647743225;0.4216772317886352;0.4216772317886352;0.9780273;0.9999998;;0.0;0.0;0.4645803570747375;0.4645803570747375;0.4645803570747375;0.4645803570747375;1.0;1.0;1.0
866;866;866;How often are general elections held?;;;GPT-4 generated;;;;;Every four years.;Every five years, sometimes sooner.;Education & Knowledge;;Ordinal Scale;Media, Technology, and Education;Every four years.;In the UK, general elections are held every five years.;General elections are typically held every four or five years in most democratic countries.;;;0;0.0;0.0;0.6194157600402832;0.6194157600402832;0.7953083515167236;0.7953083515167236;0.76091766;0.7428192;;0.0;0.0;0.7834648489952087;0.6210212707519531;0.6210212707519531;0.7834648489952087;0.5519770383834839;0.6538465619087219;0.6434133648872375
867;867;867;What's the highest court in the land?;;;GPT-4 generated;;;;;Supreme Court.;The Supreme Court of the UK.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The Supreme Court of the United States.;Supreme Court.;The highest court in the land is the Supreme Court of the United States.;;;0;0.0;0.0;0.7386756539344788;0.7386756539344788;0.6996669769287109;0.6996669769287109;0.9759907;1.0;;0.0;0.0;0.6996669769287109;0.6996669769287109;0.6996669769287109;0.6996669769287109;1.0;1.0;1.0
868;868;868;What do you call a law before it is passed?;;;GPT-4 generated;;;;;A bill.;A bill.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Bill.;Bill.;Before a law is passed, it is called a bill.;;;0;0.0;0.0;0.4794129133224487;0.4794129133224487;0.5699859857559204;0.5699859857559204;0.8664445;1.0000002;;0.0;0.0;0.5169258713722229;0.5169258713722229;0.5169258713722229;0.5169258713722229;1.0;1.0;1.0
869;869;869;What's the symbol of the main conservative party?;;;GPT-4 generated;;;;;Elephant.;The Union Jack.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Elephant.;The symbol is a torch.;The symbol of the main conservative party depends on the country, but it is often associated with traditional imagery or an animal representing strength and stability.;;;0;0.0;0.0;0.777728259563446;0.777728259563446;0.6524193286895752;0.6524193286895752;0.669774;0.47694117;;0.0;0.0;0.4635757207870483;0.7480159997940063;0.7480159997940063;0.4635757207870483;1.0;0.6710062026977539;0.6753573417663574
870;870;870;What's the symbol of the main liberal party?;;;GPT-4 generated;;;;;Donkey.;The Liberal Democrats - Yellow Bird.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Democratic donkey.;UK: Liberal Democrats - Yellow Bird.;"The main symbol of the liberal party is typically a stylized letter ""L"" or a type of bird, such as the bald eagle in the United States.";;;0;0.0;0.0;0.1192720830440521;0.1192720830440521;0.5520171523094177;0.5520171523094177;-0.021869546;0.35073832;;0.0;0.0;0.4217662215232849;0.5985341668128967;0.5985341668128967;0.4217662215232849;1.0;0.5465496182441711;0.6462088823318481
871;871;871;What is the capital?;;;GPT-4 generated;;;;;Washington, D.C.;London.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;Washington, D.C.;London.;The capital city of a country or state is the city that serves as its political and administrative center.;;;0;0.0;0.0;0.6671834588050842;0.6671834588050842;0.0863781198859214;0.0863781198859214;0.13889882;0.51247;;0.0;0.0;0.3490054011344909;0.1920099109411239;0.1920099109411239;0.3490054011344909;1.0;1.0;0.6645629405975342
872;872;872;What's a lobbyist?;;;GPT-4 generated;;;;;Someone who influences government decisions.;Influence peddler seeking political favors.;Education & Knowledge;;Multiple Choice;Media, Technology, and Education;Influencer who advocates for interests.;A lobbyist is someone who influences policymakers.;A lobbyist is someone who is paid to influence government decisions and policies on behalf of a specific group or organization.;;;0;0.0;0.0;0.6482301950454712;0.6482301950454712;0.6087928414344788;0.6087928414344788;0.98569876;1.0;;0.0;0.0;0.64794921875;0.64794921875;0.64794921875;0.64794921875;0.6662635803222656;0.6913449168205261;1.0000001192092896
873;873;873;What's the official name of the country?;;;GPT-4 generated;;;;;United States of America.;United Kingdom of Great Britain and Northern Ireland.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;United States of America.;United Kingdom.;The official name of the country is the United States of America.;;;0;0.0;0.0;0.7088965773582458;0.7088965773582458;0.4796100258827209;0.4796100258827209;0.7427677;0.6629893;;0.0;0.0;0.4796100258827209;0.4038045406341553;0.4038045406341553;0.4796100258827209;1.000000238418579;1.0;0.8169633746147156
874;874;874;What's a common breakfast item?;;;GPT-4 generated;;;;;Bacon and eggs.;Full English breakfast: eggs, bacon, sausage.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Bacon and eggs.;Toast with butter and jam.;A common breakfast item is eggs.;;;0;0.0;0.0;0.6611844301223755;0.6611844301223755;0.6621772646903992;0.6621772646903992;0.61894876;0.74852055;;0.0;0.0;0.6800419092178345;0.5623177289962769;0.5623177289962769;0.6800419092178345;0.71650230884552;0.726976752281189;0.6660967469215393
875;875;875;What's a typical sandwich?;;;GPT-4 generated;;;;;PB&J or turkey club with mayo.;Ham and cheese with pickles.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Turkey and cheese on wheat bread.;Cucumber and cream cheese sandwich.;A typical sandwich usually consists of two slices of bread with fillings such as meat, cheese, vegetables, and condiments.;;;0;0.0;0.0;0.5219576358795166;0.5219576358795166;0.6026101112365723;0.6026101112365723;0.70610297;0.75236;;0.0;0.0;0.4977916777133941;0.4204743802547455;0.4204743802547455;0.4977916777133941;0.7935760021209717;0.7316356897354126;0.770583987236023
876;876;876;What do you call fries?;;;GPT-4 generated;;;;;French fries.;Chips.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;French fries.;Chips.;I call them fries.;;;0;0.0;0.0;0.4865977466106415;0.4865977466106415;0.5665063858032227;0.5665063858032227;0.8177813;0.651364;;0.0;0.0;0.6580243110656738;0.4865977466106415;0.4865977466106415;0.6580243110656738;1.0;1.0;0.879568874835968
877;877;877;What's a common meat dish?;;;GPT-4 generated;;;;;Steak.;Roast beef and Yorkshire pudding.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Grilled burgers or BBQ ribs.;Roast beef with Yorkshire pudding.;A common meat dish would be roasted chicken with vegetables.;;;0;0.0;0.0;0.7502042651176453;0.7502042651176453;0.5082038044929504;0.5082038044929504;0.5346674;0.5832249;;0.0;0.0;0.5987361073493958;0.6323761343955994;0.6323761343955994;0.5987361073493958;0.8016762733459473;0.9999998211860657;0.7394893169403076
878;878;878;What's a popular type of pie?;;;GPT-4 generated;;;;;Apple pie.;Steak and kidney pie.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Apple pie.;Apple pie.;A popular type of pie is apple pie.;;;0;0.0;0.0;0.7429120540618896;0.7429120540618896;0.6265023350715637;0.6265023350715637;0.57200754;0.81881356;;0.0;0.0;0.7318822145462036;0.6651411652565002;0.6651411652565002;0.7318822145462036;1.0;1.0;0.8057692050933838
879;879;879;What do you put in your tea?;;;GPT-4 generated;;;;;Sugar, honey, lemon, milk, nothing.;Milk and sugar, if you please.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Sugar and a splash of milk.;Milk and sugar, if you'd like.;I usually put a little bit of honey and a splash of milk in my tea.;;;0;0.0;0.0;0.4374934732913971;0.4374934732913971;0.4123839437961578;0.4123839437961578;0.66963017;0.6964116;;0.0;0.0;0.4061267971992492;0.5170000195503235;0.5170000195503235;0.4061267971992492;0.48865169286727905;0.7359616756439209;0.526627779006958
880;880;880;What's a common fast-food chain?;;;GPT-4 generated;;;;;McDonald's;McDonald's.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;McDonald's.;McDonald's.;A common fast-food chain is McDonald's.;;;0;0.0;0.0;0.5798525214195251;0.5798525214195251;0.5339025259017944;0.5339025259017944;0.67291695;0.8029102;;0.0;0.0;0.6058652400970459;0.5481531620025635;0.5481531620025635;0.6058652400970459;1.0;1.0;0.8327473998069763
881;881;881;What's a traditional holiday meal?;;;GPT-4 generated;;;;;Turkey, stuffing, mashed potatoes, cranberry sauce.;Roast turkey with all the trimmings.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Thanksgiving: turkey, stuffing, mashed potatoes, cranberry sauce.;Roast turkey with all the trimmings.;A traditional holiday meal could include roast turkey or ham, mashed potatoes, gravy, cranberry sauce, and pumpkin pie for dessert.;;;0;0.0;0.0;0.4659543335437774;0.4659543335437774;0.5564738512039185;0.5564738512039185;0.6773884;0.9760953;;0.0;0.0;0.6006379127502441;0.5723280310630798;0.5723280310630798;0.6006379127502441;0.8274667263031006;0.7174282073974609;0.9385876655578613
882;882;882;What do you call a long bread roll?;;;GPT-4 generated;;;;;Sub sandwich or hoagie roll.;Baguette.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Hot dog bun.;Baguette.;"A long bread roll is called a ""sub,"" ""hoagie,"" or ""hero,"" depending on where you're from.";;;0;0.0;0.0;0.5297585129737854;0.5297585129737854;0.6533204317092896;0.6533204317092896;0.93671376;0.91791266;;0.0;0.0;0.6770374774932861;0.6010304689407349;0.6010304689407349;0.6770374774932861;0.6947923898696899;1.0;0.8729330897331238
883;883;883;What's a common dessert?;;;GPT-4 generated;;;;;Apple pie.;Sticky toffee pudding with custard.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Apple pie.;Scones with clotted cream and jam.;A common dessert is usually something like cake, ice cream, or fruit pie.;;;0;0.0;0.0;0.7246114015579224;0.7246114015579224;0.4877127110958099;0.4877127110958099;0.40055278;0.5364531;;0.0;0.0;0.6200985312461853;0.4746631383895874;0.4746631383895874;0.6200985312461853;1.0;0.7191999554634094;0.7735376358032227
884;884;884;What's a biscuit?;;;GPT-4 generated;;;;;A fluffy bread roll, y'all.;A delicious baked treat, mate.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A small, soft bread roll.;A sweet baked treat, like a cookie.;A biscuit is a small, soft bread typically leavened with baking powder or baking soda.;;;0;0.0;0.0;0.4148828387260437;0.4148828387260437;0.5698944330215454;0.5698944330215454;0.8951286;0.5473672;;0.0;0.0;0.5446948409080505;0.477487176656723;0.477487176656723;0.5446948409080505;0.7853409051895142;0.9717639088630676;0.7039251923561096
885;885;885;What do you call a meal at midday?;;;GPT-4 generated;;;;;Lunch.;Lunch.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Lunch.;Lunch.;"I call a meal at midday ""lunch.""";;;0;0.0;0.0;0.6238054037094116;0.6238054037094116;0.6488494873046875;0.6488494873046875;0.91766995;0.9999999;;0.0;0.0;0.6501147150993347;0.6501147150993347;0.6501147150993347;0.6501147150993347;1.0;1.0;1.0
886;886;886;What's a classic fish dish?;;;GPT-4 generated;;;;;Fish and chips.;Fish and chips, of course!;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Grilled salmon with lemon and dill.;Fish and chips with mushy peas.;A classic fish dish would be pan-seared salmon with a lemon dill sauce.;;;0;0.0;0.0;0.6861805319786072;0.6861805319786072;0.6080164909362793;0.6080164909362793;0.6453172;0.57825434;;0.0;0.0;0.6481627821922302;0.4721076488494873;0.4721076488494873;0.6481627821922302;0.6691904664039612;0.9214493632316589;0.6249215006828308
887;887;887;What do you call sparkling water?;;;GPT-4 generated;;;;;Seltzer or fizzy water.;Fizz or sparkling water.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;Seltzer or carbonated water.;"In England, we call it ""fizzy water.""";"I call sparkling water ""sparkling water"" or ""seltzer.""";;;0;0.0;0.0;0.576361894607544;0.576361894607544;0.63801509141922;0.63801509141922;0.8585448;0.82790697;;0.0;0.0;0.6219927072525024;0.5872910022735596;0.5872910022735596;0.6219927072525024;1.0;1.0;1.0
888;888;888;What's a popular soup?;;;GPT-4 generated;;;;;Chicken noodle soup.;Tomato soup.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Chicken noodle soup.;Tomato soup.;A popular soup is chicken noodle soup.;;;0;0.0;0.0;0.6784261465072632;0.6784261465072632;0.4909555315971374;0.4909555315971374;0.89396226;0.7778578;;0.0;0.0;0.6817800998687744;0.7312083840370178;0.7312083840370178;0.6817800998687744;0.8133376836776733;1.0;0.7991023063659668
889;889;889;What's a popular snack?;;;GPT-4 generated;;;;;Chips and salsa.;Crisps and tea, jolly good!;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Chips and dip.;Scones with clotted cream and jam.;A popular snack is popcorn because it's tasty and easy to make.;;;0;0.0;0.0;0.3455147743225097;0.3455147743225097;0.5030347108840942;0.5030347108840942;0.40413037;0.6348389;;0.0;0.0;0.3799025118350982;0.3389644622802734;0.3389644622802734;0.3799025118350982;1.0;0.7361747622489929;0.7622652053833008
890;890;890;What's a popular brand of chocolate?;;;GPT-4 generated;;;;;Hershey's.;Cadbury.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Hershey's.;Cadbury.;One popular brand of chocolate is Hershey's.;;;0;0.0;0.0;0.5605253577232361;0.5605253577232361;0.544501006603241;0.544501006603241;0.70662725;0.6452116;;0.0;0.0;0.7264144420623779;0.4963248074054718;0.4963248074054718;0.7264144420623779;1.0;1.0;0.7654427886009216
891;891;891;What's a common side dish?;;;GPT-4 generated;;;;;French fries or coleslaw.;Mashed potatoes and gravy, mate.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Potato salad.;Scones with clotted cream and jam.;A common side dish is a simple green salad with vinaigrette dressing.;;;0;0.0;0.0;0.4346548020839691;0.4346548020839691;0.5359727144241333;0.5359727144241333;0.48272038;0.6235199;;0.0;0.0;0.383672833442688;0.2995326519012451;0.2995326519012451;0.383672833442688;0.7119734287261963;0.7022581100463867;0.805726170539856
892;892;892;What's a popular non-alcoholic drink?;;;GPT-4 generated;;;;;Soda or iced tea.;Tea, of course, old chap!;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Soda or iced tea.;Traditional English tea with milk.;A popular non-alcoholic drink is a virgin mojito, which is a refreshing combination of mint, lime, sugar, and soda water.;;;0;0.0;0.0;0.6610721349716187;0.6610721349716187;0.6569904088973999;0.6569904088973999;0.6648256;0.53514326;;0.0;0.0;0.5509690046310425;0.2588644623756408;0.2588644623756408;0.5509690046310425;1.000000238418579;1.0;1.0
893;893;893;What's a common pub food?;;;GPT-4 generated;;;;;Burgers, fries, and chicken wings.;Fish and chips.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Burgers, fries, and chicken wings.;Fish and chips.;A common pub food is fish and chips.;;;0;0.0;0.0;0.6744208335876465;0.6744208335876465;0.4976568818092346;0.4976568818092346;0.58059007;0.47290492;;0.0;0.0;0.3974438309669494;0.6578996777534485;0.6578996777534485;0.3974438309669494;0.7720074653625488;0.5771602988243103;0.7423301935195923
894;894;894;How do you greet a friend?;;;GPT-4 generated;;;;;Hey! What's up, buddy?;"""Hello, old chap! How are you?""";Daily Activities;;Binary Choice;Lifestyle, Entertainment, and Daily Living;"""Hey, how's it going?""";"""Hello, lovely to see you!""";Hey there! How's it going?;;;0;0.0;0.0;0.3444314897060394;0.3444314897060394;0.3574317395687103;0.3574317395687103;0.67388624;0.88936436;;0.0;0.0;0.3518538475036621;0.3356526792049408;0.3356526792049408;0.3518538475036621;0.5886850357055664;0.6448866724967957;0.9134036302566528
895;895;895;What's a common form of public transportation?;;;GPT-4 generated;;;;;Bus or subway.;The Tube (London Underground).;Daily Activities;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Car.;Bus or train.;A common form of public transportation is the bus.;;;0;0.0;0.0;0.5416901707649231;0.5416901707649231;0.6419547200202942;0.6419547200202942;0.61711884;0.83975285;;0.0;0.0;0.6905317306518555;0.6311221718788147;0.6311221718788147;0.6905317306518555;0.3722713589668274;1.0000001192092896;0.46999919414520264
896;896;896;What's a common weekend activity?;;;GPT-4 generated;;;;;Watching sports and grilling with friends.;Going for a Sunday roast.;Daily Activities;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Watching sports games or barbecuing with friends.;Gardening and afternoon tea with friends.;A common weekend activity for me is spending time outdoors, whether it's hiking, going to the beach, or simply taking a walk in the park.;;;0;0.0;0.0;0.6139219403266907;0.6139219403266907;0.6038287281990051;0.6038287281990051;0.73273367;0.74195;;0.0;0.0;0.5629273653030396;0.5685076117515564;0.5685076117515564;0.5629273653030396;0.7445220351219177;0.7016246914863586;0.7874614000320435
