;Unnamed: 0.42;Unnamed: 0.41;Unnamed: 0.40;Unnamed: 0.39;Unnamed: 0.38;Unnamed: 0.37;Unnamed: 0.36;Unnamed: 0.35;Unnamed: 0.34;Unnamed: 0.33;Unnamed: 0.32;Unnamed: 0.31;Unnamed: 0.30;Unnamed: 0.29;Unnamed: 0.28;Unnamed: 0.27;Unnamed: 0.26;Unnamed: 0.25;Unnamed: 0.24;Unnamed: 0.23;Unnamed: 0.22;Unnamed: 0.21;Unnamed: 0.20;Unnamed: 0.19;Unnamed: 0.18;Unnamed: 0.17;Unnamed: 0.16;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;question;selections;options;source;value_us;value_uk;index_us;index_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;#_options;shortened_us;shortened_uk
10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;856;What's a typical sports drink?;;;GPT-4 generated;;;;;Gatorade.;Lucozade.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;I believe a typical sports drink would be something like Gatorade or Powerade.;A typical sports drink in my culture is a bottle of electrolyte-infused beverage designed to rehydrate and replenish the body's nutrients after physical activity.;0;Sports drink examples: Gatorade, Powerade.;Electrolyte drink for rehydration and replenishing nutrients after exercise.
11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;857;What do you call athletic footwear?;;;GPT-4 generated;;;;;Sneakers.;Trainers.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;"I would call athletic footwear ""sneakers.""";"I would call athletic footwear ""trainers.""";0;"Athletic shoes are often called ""sneakers.""";"Athletic footwear is known as ""trainers."""
12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;858;What's an important tennis tournament?;;;GPT-4 generated;;;;;U.S. Open or Wimbledon.;Wimbledon.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;As a passionate baseball fan from New York City, I would consider the US Open as an important tennis tournament, especially because it's held right here in our diverse and vibrant city.;I believe that the Wimbledon Championships is the most important tennis tournament due to its long history, prestigious reputation, and global significance.;0;Passionate New York baseball fan values US Open in city.;Wimbledon Championships is crucial due to history, reputation, and significance.
13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;859;What's a pick-up game?;;;GPT-4 generated;;;;;A casual game organized without official teams or rules.;A casual game organized without official teams or rules.;Society & Relationships;;Multiple Choice;Society, Culture, and Relationships;A pick-up game is an informal sports game where people gather spontaneously to play without being part of an organized team or league.;A pick-up game is an informal sports game that is spontaneous and not part of an organized league or team.;0;Informal sports game where people gather to play spontaneously.;Informal sports game outside organized league or team.
14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;860;What do you call it when a player scores three goals in hockey?;;;GPT-4 generated;;;;;A hat-trick.;A hat-trick.;Society & Relationships;;Binary Choice;Society, Culture, and Relationships;It's called a hat trick.;"As a person from a culture that doesn't typically follow hockey, I would call it a ""hat trick"" when a player scores three goals in hockey.";0;It's a hat trick.;"""Scoring three goals in hockey is called a 'hat trick'."""
15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;861;What's the name of the lower house of parliament?;;;GPT-4 generated;;;;;House of Representatives.;House of Commons.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I’m sorry, I think there might be a misunderstanding. I believe you might be looking for information on American higher education, but you've asked about the lower house of parliament, which is generally not part of that context. Can you please clarify what you are asking?;The House of Commons is the lower house of the Parliament in the UK.;0;You're asking about the wrong thing, need more info?;UK's lower house of Parliament is the House of Commons.
16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;862;What's the name of the upper house of parliament?;;;GPT-4 generated;;;;;Senate.;House of Lords.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The name of the upper house of parliament is the Senate.;The upper house of the UK Parliament is called the House of Lords.;0;Upper parliament house is called the Senate.;UK Parliament's upper house is called House of Lords.
17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;863;What do you call the leader of the main opposition party?;;;GPT-4 generated;;;;;The term is not standardized this can vary depending on the chamber and the party.;Leader of the Opposition.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The leader of the main opposition party is called the Leader of the Opposition.;"I would call the leader of the main opposition party in the United Kingdom the ""Leader of the Opposition.""";0;Opposition party leader is called Leader of the Opposition.;"Leader of main opposition party in UK is ""Leader of Opposition."""
18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;864;What do you call a member of parliament?;;;GPT-4 generated;;;;;"Congressman or Congresswoman; Senator for the upper house.";MP (Member of Parliament).;Education & Knowledge;;Binary Choice;Media, Technology, and Education;A member of parliament is usually called an MP (Member of Parliament) in my country.;A member of parliament is generally referred to as an MP in most English-speaking countries.;0;In my country, a member of parliament is typically called MP.;MP is a member of parliament in English-speaking countries.
19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;865;What's the voting age?;;;GPT-4 generated;;;;;18.;18.;Education & Knowledge;;Numerical Scale;Media, Technology, and Education;The voting age in the United States is 18 years old.;In the United States, the voting age is 18 years old.;0;US voting age is 18 years old.;US voting age is 18 years.
20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;866;How often are general elections held?;;;GPT-4 generated;;;;;"Every 2 years for the House of Representatives and every 6 years for the Senate; Presidential elections are every 4 years.";Every 5 years or sooner if a snap election is called.;Education & Knowledge;;Ordinal Scale;Media, Technology, and Education;General elections are held in the United States every four years.;Hello Elizabeth, general elections are typically held every five years in the United Kingdom.;0;US holds general elections every four years.;UK general elections occur every 5 years.
21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;867;What's the highest court in the land?;;;GPT-4 generated;;;;;Supreme Court.;Supreme Court.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The highest court in the land is the Supreme Court of the United States.;The highest court in the land is the Supreme Court.;0;Supreme Court is the highest court in the United States.;Supreme Court is the highest court in the land.
22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;868;What do you call a law before it is passed?;;;GPT-4 generated;;;;;A bill.;A bill.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;We call it a bill before it's passed.;"Elizabeth, we usually refer to a law before it is passed as a ""bill.""";0;It's a bill before it's passed.;"""Before passed, law is referred to as a bill."""
23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;869;What's the symbol of the main conservative party?;;;GPT-4 generated;;;;;The elephant (Republican Party).;The Conservative Party logo often a tree.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I would say that the symbol of the main conservative party in the United States is the elephant.;The symbol of the main conservative party in the UK is the oak tree.;0;US conservative symbol is the elephant.;UK conservative party's symbol is the oak tree.
24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;870;What's the symbol of the main liberal party?;;;GPT-4 generated;;;;;The donkey (Democratic Party).;The Labour Party logo often a rose.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I think the symbol of the main liberal party would depend on the country, but in the United States, it's typically represented by the donkey.;I'm sorry, I don't understand your question. Can you please provide more context or clarify what you're looking for?;0;In the US, the main liberal party symbol is a donkey.;Please provide more context or clarify your question.
25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;871;What is the capital?;;;GPT-4 generated;;;;;Washington D.C.;London.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;I'm sorry, I think there might be a misunderstanding. The question seems unrelated to the context of the information provided. Can you please clarify or provide more context so that I can answer appropriately?;The capital is London.;0;Please clarify question to answer appropriately.;Capital: London.
26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;872;What's a lobbyist?;;;GPT-4 generated;;;;;Someone hired to influence lawmakers on behalf of an organization.;Someone hired to influence lawmakers on behalf of an organization.;Education & Knowledge;;Multiple Choice;Media, Technology, and Education;A lobbyist is someone who tries to influence government decision-making in favor of a specific interest group or organization, often by providing information, resources, or support to policymakers.;A lobbyist is someone who tries to influence government decisions on behalf of a specific interest or group.;0;Influences government decisions for specific interest groups or organizations.;Influences government decisions for specific interest or group.
27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;873;What's the official name of the country?;;;GPT-4 generated;;;;;United States of America.;United Kingdom of Great Britain and Northern Ireland.;Education & Knowledge;;Binary Choice;Media, Technology, and Education;The official name of the country is the United States of America.;The official name of the country is the United Kingdom of Great Britain and Northern Ireland.;0;Official name: United States of America.;Officially known as United Kingdom of Great Britain and Northern Ireland.
28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;28;874;What's a common breakfast item?;;;GPT-4 generated;;;;;Pancakes scrambled eggs or cereal.;Toast with butter or marmalade or a Full English Breakfast.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A common breakfast item in the American suburbia is cereal with milk or a breakfast sandwich.;A common breakfast item in the English countryside is a full English breakfast, which typically includes eggs, bacon, sausage, baked beans, mushrooms, tomatoes, and toast.;0;Cereal or a breakfast sandwich is popular in American suburbia.;Full English breakfast includes eggs, bacon, sausage, beans, mushrooms, tomatoes, and toast.
29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;29;875;What's a typical sandwich?;;;GPT-4 generated;;;;;Turkey and cheese or peanut butter and jelly.;Cheese and pickle or egg and cress.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A typical sandwich in America might be a classic turkey and cheese on whole wheat bread with lettuce, tomato, and mayonnaise.;A typical sandwich in the English countryside might include cucumber and cream cheese with a touch of chutney, served on fresh, crusty bread.;0;Classic turkey and cheese sandwich on whole wheat with fixings.;Cucumber and cream cheese sandwich with chutney on crusty bread.
30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;876;What do you call fries?;;;GPT-4 generated;;;;;Fries.;Chips.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;"I call fries ""fries,"" just like most people in the United States.";I call them fries.;0;"I call fries ""fries,"" like most people in the US.";I call them fries.
31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;31;877;What's a common meat dish?;;;GPT-4 generated;;;;;Steak or fried chicken.;Roast beef with Yorkshire pudding.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A common meat dish in the American suburb could be grilled burgers or barbecue ribs.;A common meat dish in the English countryside is roast beef with Yorkshire pudding.;0;American suburb: grilled burgers or barbecue ribs - common meat dish.;English countryside: roast beef with Yorkshire pudding, a popular dish.
32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;32;878;What's a popular type of pie?;;;GPT-4 generated;;;;;Apple pie or pumpkin pie.;Steak and ale pie or apple pie.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;In the American suburb culture, apple pie is a popular and iconic dessert choice.;A popular type of pie in England is the classic steak and ale pie.;0;Apple pie is an iconic dessert in American suburbs.;Popular in England: classic steak and ale pie.
33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;879;What do you put in your tea?;;;GPT-4 generated;;;;;Usually just sugar or nothing.;Milk and perhaps sugar.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;I prefer to put a little bit of honey in my tea for some extra sweetness.;I enjoy a splash of milk in my tea.;0;Add honey for extra sweetness in my tea.;I like milk in my tea.
34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;34;880;What's a common fast-food chain?;;;GPT-4 generated;;;;;McDonald's Burger King or Chick-fil-A.;McDonald's Greggs or KFC.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A common fast-food chain in the United States is McDonald's.;Well, Olivia, a common fast-food chain in England is probably McDonald's, known for its quick and convenient meals.;0;McDonald's is a popular fast-food chain in the US.;Olivia, in England, popular fast food is likely McDonald's.
35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;881;What's a traditional holiday meal?;;;GPT-4 generated;;;;;Turkey and stuffing for Thanksgiving.;Turkey and stuffing for Christmas.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A traditional holiday meal in the American suburban lifestyle might include roast turkey, mashed potatoes, gravy, green bean casserole, and pumpkin pie.;As someone who values tradition and culture, I would say that a traditional holiday meal in England would include roast turkey or roast beef, accompanied by roasted vegetables, Yorkshire pudding, and a side of cranberry sauce.;0;American holiday meal: turkey, mashed potatoes, green bean casserole, pumpkin pie.;English holiday meal includes roast turkey, beef, vegetables, Yorkshire pudding.
36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;36;882;What do you call a long bread roll?;;;GPT-4 generated;;;;;A sub roll or a baguette.;A baguette or a roll.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;"I would call a long bread roll a ""sub"" or a ""hoagie.""";"We call a long bread roll a ""sub"" or a ""hoagie"" where I'm from.";0;"Long bread roll: ""Sub"" or ""hoagie.""";"""Bread roll referred to as 'sub' or 'hoagie'."""
37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;37;883;What's a common dessert?;;;GPT-4 generated;;;;;Ice cream or apple pie.;Trifle or sticky toffee pudding.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A common dessert in the American suburbia is apple pie.;A common dessert in England is sticky toffee pudding.;0;Apple pie—popular American suburbia dessert.;Common in England: sticky toffee pudding.
38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;38;884;What's a biscuit?;;;GPT-4 generated;;;;;A soft bread roll often served with breakfast.;A sweet treat like a cookie.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A biscuit is a type of soft, fluffy bread that is typically served with butter and jam, often enjoyed as part of a traditional southern American breakfast.;A biscuit is a sweet, baked treat that we often enjoy with a cup of tea or coffee here in the UK.;0;Soft, fluffy bread typically served with butter and jam.;UK enjoys sweet biscuit with tea or coffee.
39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;39;885;What do you call a meal at midday?;;;GPT-4 generated;;;;;Lunch.;Lunch.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;"I would call a meal at midday ""lunch.""";"We call a meal at midday ""lunch"" in the culture I am from.";0;"Midday meal is called ""lunch.""";"Midday meal is called ""lunch"" in my culture."
40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;40;886;What's a classic fish dish?;;;GPT-4 generated;;;;;Fish tacos or fried fish.;Fish and chips.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A classic fish dish in my culture is pan-seared salmon with a lemon butter sauce.;I would say that a classic fish dish in English cuisine is fish and chips.;0;Pan-seared salmon with lemon butter sauce is a classic dish.;Classic English dish: fish and chips.
41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;41;887;What do you call sparkling water?;;;GPT-4 generated;;;;;Sparkling water.;Fizzy water.;Food & Drink;;Binary Choice;Lifestyle, Entertainment, and Daily Living;I personally call it sparkling water, but some people also refer to it as seltzer or carbonated water.;"I call sparkling water ""sparkling water"" or ""carbonated water.""";0;I call it sparkling water, some call it seltzer.;"I call it ""sparkling water"" or ""carbonated water."""
42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;42;888;What's a popular soup?;;;GPT-4 generated;;;;;Chicken noodle soup or clam chowder.;Tomato soup or chicken soup.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;One popular soup in the American culture is tomato soup.;A popular soup in English culture is the classic tomato soup.;0;Popular American soup: tomato soup.;Classic English tomato soup is a popular choice.
43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;43;889;What's a popular snack?;;;GPT-4 generated;;;;;Potato chips.;Crisps.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;Well John, a popular snack in the American suburbia could be something like pretzels or chips, perfect for enjoying during weekend soccer games or while on a family vacation.;A popular snack in the English countryside is a scone with clotted cream and jam, enjoyed with a cup of tea.;0;Snack options for suburban America: pretzels, chips for sports, vacation.;English countryside snack: scone with clotted cream, jam, tea.
44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;890;What's a popular brand of chocolate?;;;GPT-4 generated;;;;;Hershey's.;Cadbury.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;I would consider popular chocolate brands in the American suburbs to be Hershey's and Ghirardelli.;I would say that a popular brand of chocolate in England is Cadbury.;0;Top American suburban chocolate brands: Hershey's and Ghirardelli.;Popular English chocolate brand? Definitely Cadbury.
45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;45;891;What's a common side dish?;;;GPT-4 generated;;;;;Fries or coleslaw.;Mashed potatoes or peas.;Food & Drink;;Multiple Choice;Lifestyle, Entertainment, and Daily Living;A common side dish in American suburban meals is mashed potatoes or macaroni and cheese.;A common side dish in the English countryside might be roasted vegetables or a simple garden salad.;0;Mashed potatoes or macaroni and cheese, common American side dishes.;English countryside: roast vegetables or garden salad is popular side dish.
