;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0;question;selections;options;options_formatted;source;value_us;value_uk;answer_us;answer_uk;category;# of options;question type;category_group;model_answer_us;model_answer_uk;model_answer_uk_option_match;model_answer_us_option_match;#_options;options_dict;score_ground_truth_answers;value_diff;question_type;ukGT_usGT_score;ukMA_usGT_score;ukGT_usMA_score;ukMA_usMA_score;us_score;uk_score;gpt4_uk_score;gpt4_us_score;gpt4_usGT_ukGT_score;gpt4_ukGT_usMA_score;gpt4_usGT_ukMA_score;gpt4_usMA_ukMA_score;gpt4_us_score_normed;gpt4_uk_score_normed;gpt4_ukGT_usMA_normed;gpt4_usGT_ukMA_normed;gpt4_usGT_ukGT_normed;gpt4_usMA_ukMA_score_normed
10;1535;1535;1535;1535;1535;"Which artist from my country sang ""Shape of You"" and ""Perfect""?";{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Ed Sheeran.;Ed Sheeran.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Ed Sheeran.;Ed Sheeran.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
11;1536;1536;1536;1536;1536;What is the city of origin for the Beatles?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Liverpool, England.;Liverpool, England.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Liverpool, England.;Liverpool, England.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
12;1537;1537;1537;1537;1537;In which country was the birthplace of Freddie Mercury located?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Tanzania, East Africa.;Tanzania, East Africa.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Freddie Mercury: Zanzibar, Tanzania.;Zanzibar, Tanzania.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.500001;0.250001;0.250001;1.0;4.0;2.0;5.0;2.0;4.0;2.0;0.250001;0.750001;0.250001;0.750001;1.0;0.250001
13;1538;1538;1538;1538;1538;Which singer from England was born in London and passed away in 2016?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;David Bowie.;David Bowie.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;David Bowie.;David Bowie.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
14;1539;1539;1539;1539;1539;What is the name of the member known as Ginger Spice in the Spice Girls?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Geri Halliwell.;Geri Halliwell.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Geri Halliwell.;Geri Halliwell;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
15;1540;1540;1540;1540;1540;What is the real name of the famous musician Elton John?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Reginald Kenneth Dwight.;Reginald Kenneth Dwight.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Reginald Kenneth Dwight.;Reginald Kenneth Dwight;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
16;1541;1541;1541;1541;1541;Who is the lead singer of the band Coldplay?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Chris Martin.;Chris Martin.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Chris Martin.;Chris Martin.;;;0.0;;1.0;1.0;Free-text;1.0;0.875001;1.0;0.875001;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
17;1542;1542;1542;1542;1542;In which city were Liam and Noel Gallagher born?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Manchester, England.;Manchester, England.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Manchester, England.;Manchester, England;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
18;1543;1543;1543;1543;1543;In which country is the location of Glastonbury situated?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;United Kingdom.;United Kingdom.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;England.;United Kingdom, England.;;;0.0;;1.0;1.0;Free-text;1.0;0.875001;0.750001;0.750001;0.250001;0.750001;4.0;1.0;5.0;4.0;4.5;4.0;0.0;0.750001;0.750001;0.875001;1.0;0.750001
19;1544;1544;1544;1544;1544;Which city hosts the BoomTown festival?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Winchester, England.;Winchester, Hampshire.;Music & Arts;;Quiz question;Lifestyle, Entertainment, and Daily Living;Austin, Texas.;Winchester, England.;;;0.0;;0.0;1.0;Multiple Choice;1.0;1.0;0.0;0.0;0.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
20;1545;1545;1545;1545;1545;In which country was the birthplace of J.R.R. Tolkien, the author of the Hobbit and Lord of the Rings, located?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;South Africa.;South Africa.;Literature;;Quiz question;Society, Culture, and Relationships;England.;South Africa.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0
21;1546;1546;1546;1546;1546;Which famous author wrote the novel Oliver Twist in English?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Charles Dickens.;Charles Dickens.;Literature;;Quiz question;Society, Culture, and Relationships;Charles Dickens.;Charles Dickens;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
22;1547;1547;1547;1547;1547;In which city was a famous playwright born?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;New York City.;Stratford-upon-Avon.;Literature;;Quiz question;Society, Culture, and Relationships;London, England.;Stratford-upon-Avon.;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.250001;0.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
23;1548;1548;1548;1548;1548;Which famous female author is buried in the national cathedral of my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Helen Keller.;Jane Austen.;Literature;;Quiz question;Society, Culture, and Relationships;Emily Dickinson.;Virginia Woolf;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
24;1549;1549;1549;1549;1549;What was the pen name used by the novelist and critic Eric Arthur Blair in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;George Orwell.;George Orwell.;Literature;;Quiz question;Society, Culture, and Relationships;George Orwell.;George Orwell;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
25;1550;1550;1550;1550;1550;Which book series, regardless of the country, is considered the best-selling book series of all time?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Harry Potter.;Harry Potter.;Literature;;Quiz question;Society, Culture, and Relationships;Harry Potter.;"""Harry Potter series, love.""";;;0.0;;1.0;1.0;Free-text;1.0;0.875001;1.0;0.875001;1.0;1.0;4.0;5.0;5.0;5.0;3.5;2.0;1.0;0.750001;1.0;0.625001;1.0;0.250001
26;1551;1551;1551;1551;1551;In which country does the fictional character Sherlock Holmes reside?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;United Kingdom.;United Kingdom.;Literature;;Quiz question;Society, Culture, and Relationships;United Kingdom.;United Kingdom;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
27;1552;1552;1552;1552;1552;In which city was the birthplace of Charles Darwin located?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Shrewsbury, England.;Shrewsbury, England.;Literature;;Quiz question;Society, Culture, and Relationships;London, England.;Shrewsbury, England;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.500001;0.750001;0.875001;1.0;5.0;4.5;5.0;3.0;5.0;4.5;0.875001;1.0;0.500001;1.0;1.0;0.875001
28;1553;1553;1553;1553;1553;In which city was the first free library established in a country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Philadelphia, Pennsylvania.;Manchester, England.;Literature;;Quiz question;Society, Culture, and Relationships;Boston, Massachusetts.;Manchester, England.;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
29;1554;1554;1554;1554;1554;In which city is located the largest library in Europe?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;St. Petersburg, Russia.;London, United Kingdom.;Literature;;Quiz question;Society, Culture, and Relationships;London, United Kingdom.;London;;;0.0;;0.0;1.0;Free-text;0.0;0.0;1.0;0.875001;0.0;1.0;5.0;1.0;1.0;5.0;1.0;4.5;0.0;1.0;1.0;0.0;0.0;0.875001
30;1555;1555;1555;1555;1555;Where are the studios for the Harry Potter franchise located in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Leavesden, Hertfordshire, England.;Leavesden, Hertfordshire.;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;Warner Bros. Studios, California.;Leavesden, Hertfordshire, England.;;;0.0;;0.0;1.0;Free-text;0.950001;0.875001;0.0;0.0;0.0;1.0;4.5;1.0;4.5;1.0;5.0;1.0;0.0;0.875001;0.0;1.0;0.875001;0.0
31;1556;1556;1556;1556;1556;Who is the host of the television show Task Master?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Greg Davies.;Greg Davies.;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;Greg Davies.;Greg Davies;;;0.0;;1.0;1.0;Free-text;1.0;1.0;1.0;1.0;1.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
32;1557;1557;1557;1557;1557;"In which city is the television series Peaky Blinders"" set?""";{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Birmingham, England.;Birmingham, West Midlands.;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;Birmingham, England.;Birmingham.;;;0.0;;0.0;1.0;Free-text;0.875001;0.750001;0.0;0.0;0.0;0.250001;5.0;5.0;5.0;4.5;5.0;5.0;1.0;1.0;0.875001;1.0;1.0;1.0
33;1558;1558;1558;1558;1558;Which television soap opera holds the record for being the longest-running in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;"""Guiding Light""";Coronation Street.;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;"""General Hospital.""";"""The Archers""";;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;0.250001;0.0;0.0;0.0
34;1559;1559;1559;1559;1559;What is a popular TV show in my country where entrepreneurs present their business ideas to potential investors?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Shark Tank.;Dragons' Den.;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;Shark Tank.;"""Dragon's Den""";;;0.0;;0.0;1.0;Free-text;1.0;0.750001;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;4.0;4.0;1.0;1.0;1.0;0.750001;1.0;0.750001
35;1560;1560;1560;1560;1560;Which actor from my country is known for playing the character Mark Darcy in the film Bridget Jones?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Colin Firth.;Colin Firth.;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;Colin Firth.;Colin Firth.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
36;1561;1561;1561;1561;1561;Which actor from my country played the role of James Bond in the movie Casino Royale?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Daniel Craig.;Daniel Craig.;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;Daniel Craig.;Daniel Craig.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
37;1562;1562;1562;1562;1562;In which historical figure does an actor from my country portray in the film The King's Speech?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;George VI;King George VI;Movies & TV Shows;;Quiz question;Lifestyle, Entertainment, and Daily Living;George VI.;King George VI;;;0.0;;0.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
38;1563;1563;1563;1563;1563;Which actress from my country plays in both a specific movie and a specific TV show?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Jennifer Aniston.;Olivia Colman.;Geography;;Quiz question;Economy, Health, and Environment;Meryl Streep.;Emilia Clarke.;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;5.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0
39;1564;1564;1564;1564;1564;What is the largest lake in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Lake Superior.;Loch Ness, Scotland.;Geography;;Quiz question;Economy, Health, and Environment;Great question, Emily! Lake Superior.;Lake Windermere;;;0.0;;0.0;1.0;Free-text;0.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;1.0;5.0;1.0;0.250001;0.250001;0.0;1.0;0.0;0.0
40;1565;1565;1565;1565;1565;Which country has the oldest national park?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;USA;United States.;Geography;;Quiz question;Economy, Health, and Environment;Yellowstone, United States.;The United States.;;;0.0;;0.0;1.0;Multiple Choice;1.0;1.0;0.0;0.0;0.0;1.0;5.0;3.0;5.0;4.5;5.0;2.0;0.500001;1.0;0.875001;1.0;1.0;0.250001
41;1566;1566;1566;1566;1566;What is the name of the famous landmark situated on Salisbury Plain in Wiltshire, England?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Stonehenge.;Stonehenge.;Geography;;Quiz question;Economy, Health, and Environment;Stonehenge.;Stonehenge;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
42;1567;1567;1567;1567;1567;What is the tallest mountain in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Mount McKinley.;Ben Nevis.;Geography;;Quiz question;Economy, Health, and Environment;Mount McKinley.;Ben Nevis;;;0.0;;0.0;1.0;Free-text;0.250001;1.0;0.0;0.0;0.0;1.0;5.0;5.0;2.0;2.0;1.0;5.0;1.0;1.0;0.250001;0.0;0.250001;1.0
43;1568;1568;1568;1568;1568;What is the name of the river running through the capital city of my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Potomac River.;River Thames.;Geography;;Quiz question;Economy, Health, and Environment;Hudson River.;The River Thames;;;0.0;;0.0;1.0;Free-text;1.0;0.750001;0.0;0.0;0.0;1.0;5.0;5.0;4.0;5.0;4.5;2.0;1.0;1.0;1.0;0.875001;0.750001;0.250001
44;1569;1569;1569;1569;1569;What is the second largest city in my country after its capital?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Los Angeles.;Birmingham, United Kingdom.;Geography;;Quiz question;Economy, Health, and Environment;Chicago.;Birmingham;;;0.0;;0.0;1.0;Multiple Choice;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
45;1570;1570;1570;1570;1570;What is the largest county in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;San Bernardino County.;Yorkshire.;Geography;;Quiz question;Economy, Health, and Environment;USA: Alaska;Highland, Scotland;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
46;1571;1571;1571;1571;1571;In which city in my country can you find the districts of Northern Quarter, Deansgate, and Rusholme?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Manchester, England.;Manchester.;Geography;;Quiz question;Economy, Health, and Environment;Manchester, UK.;Manchester;;;0.0;;0.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
47;1572;1572;1572;1572;1572;What is the most southerly county in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Monroe County, Florida.;Cornwall.;Geography;;Quiz question;Economy, Health, and Environment;Miami-Dade County.;Cornwall;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;1.0;5.0;2.0;1.0;1.0;1.0;1.0;0.250001;1.0;0.0;0.0;0.0;0.0
48;1573;1573;1573;1573;1573;In which national park in my country is Malham Cove situated?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Yorkshire Dales National Park.;Yorkshire Dales.;History;;Quiz question;Society, Culture, and Relationships;Yorkshire Dales National Park;Yorkshire Dales National Park;;;0.0;;0.0;1.0;Free-text;0.875001;1.0;0.0;0.0;0.0;0.875001;5.0;5.0;5.0;4.5;5.0;5.0;1.0;1.0;0.875001;1.0;1.0;1.0
49;1574;1574;1574;1574;1574;Who was the Prime Minister of my country in 2000?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;There was no Prime Minister in the United States in 2000.;Tony Blair.;History;;Quiz question;Society, Culture, and Relationships;George W. Bush.;Tony Blair;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
50;1575;1575;1575;1575;1575;What is the oldest university in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Harvard University.;Oxford University.;History;;Quiz question;Society, Culture, and Relationships;Harvard University.;University of Oxford.;;;0.0;;0.0;1.0;Free-text;1.0;0.500001;0.0;0.0;0.0;1.0;5.0;5.0;4.0;5.0;2.0;1.0;1.0;1.0;1.0;0.250001;0.750001;0.0
51;1576;1576;1576;1576;1576;Who is the longest-serving monarch in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Queen Elizabeth II.;Queen Elizabeth II.;History;;Quiz question;Society, Culture, and Relationships;Queen Elizabeth II.;Queen Elizabeth II;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
52;1577;1577;1577;1577;1577;In which year did a significant fire occur in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Great Chicago Fire, 1871.;1666;History;;Quiz question;Society, Culture, and Relationships;1776;1666;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
53;1578;1578;1578;1578;1578;What is the term used to describe the bombing of a city during a specific period of time, such as London in 1940-41?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;The Blitz.;The Blitz.;History;;Quiz question;Society, Culture, and Relationships;The Blitz.;The Blitz.;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;1.0;1.0;1.0;1.0;1.0
54;1579;1579;1579;1579;1579;In which abbey is the coronation typically held for the head of state in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Westminster Abbey.;Westminster Abbey.;History;;Quiz question;Society, Culture, and Relationships;St. Patrick's Cathedral.;Westminster Abbey;;;0.0;;1.0;1.0;Free-text;1.0;1.0;0.0;0.0;0.0;1.0;5.0;1.0;5.0;1.0;5.0;4.5;0.0;1.0;0.0;1.0;1.0;0.875001
55;1580;1580;1580;1580;1580;When and where did the death of a prominent figure occur in my country?;{};;;GPT / https://www.beelovedcity.com/england-quiz;0,000001;0,000001;Dallas, Texas, 1963.;Princess Diana, Paris, 1997.;History;;Quiz question;Society, Culture, and Relationships;RBG, Washington D.C., 2020.;Diana, 1997, Paris tunnel.;;;0.0;;0.0;1.0;Free-text;0.0;0.0;0.0;0.0;0.0;1.0;5.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
